"","Periodo","Sexo","Municipios","value"
"4825","2001","Hombres","26076 Hormilleja",88
"4826","2000","Hombres","26076 Hormilleja",87
"4827","1999","Hombres","26076 Hormilleja",91
"4828","1998","Hombres","26076 Hormilleja",89
"4829","1997","Hombres","26076 Hormilleja",NA
"4830","1996","Hombres","26076 Hormilleja",93
"4831","2016","Mujeres","26076 Hormilleja",74
"4832","2015","Mujeres","26076 Hormilleja",76
"4833","2014","Mujeres","26076 Hormilleja",78
"4834","2013","Mujeres","26076 Hormilleja",75
"4835","2012","Mujeres","26076 Hormilleja",79
"4836","2011","Mujeres","26076 Hormilleja",82
"4837","2010","Mujeres","26076 Hormilleja",78
"4838","2009","Mujeres","26076 Hormilleja",79
"4839","2008","Mujeres","26076 Hormilleja",83
"4840","2007","Mujeres","26076 Hormilleja",80
"4841","2006","Mujeres","26076 Hormilleja",79
"4842","2005","Mujeres","26076 Hormilleja",79
"4843","2004","Mujeres","26076 Hormilleja",80
"4844","2003","Mujeres","26076 Hormilleja",71
"4845","2002","Mujeres","26076 Hormilleja",78
"4846","2001","Mujeres","26076 Hormilleja",85
"4847","2000","Mujeres","26076 Hormilleja",87
"4848","1999","Mujeres","26076 Hormilleja",87
"4849","1998","Mujeres","26076 Hormilleja",89
"4850","1997","Mujeres","26076 Hormilleja",NA
"4851","1996","Mujeres","26076 Hormilleja",95
"4852","2016","Total","26077 Hornillos de Cameros",23
"4853","2015","Total","26077 Hornillos de Cameros",31
"4854","2014","Total","26077 Hornillos de Cameros",18
"4855","2013","Total","26077 Hornillos de Cameros",15
"4856","2012","Total","26077 Hornillos de Cameros",14
"4857","2011","Total","26077 Hornillos de Cameros",15
"4858","2010","Total","26077 Hornillos de Cameros",13
"4859","2009","Total","26077 Hornillos de Cameros",13
"4860","2008","Total","26077 Hornillos de Cameros",18
"4861","2007","Total","26077 Hornillos de Cameros",14
"4862","2006","Total","26077 Hornillos de Cameros",14
"4863","2005","Total","26077 Hornillos de Cameros",15
"4864","2004","Total","26077 Hornillos de Cameros",15
"4865","2003","Total","26077 Hornillos de Cameros",15
"4866","2002","Total","26077 Hornillos de Cameros",16
"4867","2001","Total","26077 Hornillos de Cameros",18
"4868","2000","Total","26077 Hornillos de Cameros",22
"4869","1999","Total","26077 Hornillos de Cameros",22
"4870","1998","Total","26077 Hornillos de Cameros",25
"4871","1997","Total","26077 Hornillos de Cameros",NA
"4872","1996","Total","26077 Hornillos de Cameros",26
"4873","2016","Hombres","26077 Hornillos de Cameros",12
"4874","2015","Hombres","26077 Hornillos de Cameros",16
"4875","2014","Hombres","26077 Hornillos de Cameros",8
"4876","2013","Hombres","26077 Hornillos de Cameros",7
"4877","2012","Hombres","26077 Hornillos de Cameros",5
"4878","2011","Hombres","26077 Hornillos de Cameros",5
"4879","2010","Hombres","26077 Hornillos de Cameros",5
"4880","2009","Hombres","26077 Hornillos de Cameros",5
"4881","2008","Hombres","26077 Hornillos de Cameros",8
"4882","2007","Hombres","26077 Hornillos de Cameros",6
"4883","2006","Hombres","26077 Hornillos de Cameros",5
"4884","2005","Hombres","26077 Hornillos de Cameros",6
"4885","2004","Hombres","26077 Hornillos de Cameros",6
"4886","2003","Hombres","26077 Hornillos de Cameros",6
"4887","2002","Hombres","26077 Hornillos de Cameros",7
"4888","2001","Hombres","26077 Hornillos de Cameros",9
"4889","2000","Hombres","26077 Hornillos de Cameros",11
"4890","1999","Hombres","26077 Hornillos de Cameros",11
"4891","1998","Hombres","26077 Hornillos de Cameros",13
"4892","1997","Hombres","26077 Hornillos de Cameros",NA
"4893","1996","Hombres","26077 Hornillos de Cameros",14
"4894","2016","Mujeres","26077 Hornillos de Cameros",11
"4895","2015","Mujeres","26077 Hornillos de Cameros",15
"4896","2014","Mujeres","26077 Hornillos de Cameros",10
"4897","2013","Mujeres","26077 Hornillos de Cameros",8
"4898","2012","Mujeres","26077 Hornillos de Cameros",9
"4899","2011","Mujeres","26077 Hornillos de Cameros",10
"4900","2010","Mujeres","26077 Hornillos de Cameros",8
"4901","2009","Mujeres","26077 Hornillos de Cameros",8
"4902","2008","Mujeres","26077 Hornillos de Cameros",10
"4903","2007","Mujeres","26077 Hornillos de Cameros",8
"4904","2006","Mujeres","26077 Hornillos de Cameros",9
"4905","2005","Mujeres","26077 Hornillos de Cameros",9
"4906","2004","Mujeres","26077 Hornillos de Cameros",9
"4907","2003","Mujeres","26077 Hornillos de Cameros",9
"4908","2002","Mujeres","26077 Hornillos de Cameros",9
"4909","2001","Mujeres","26077 Hornillos de Cameros",9
"4910","2000","Mujeres","26077 Hornillos de Cameros",11
"4911","1999","Mujeres","26077 Hornillos de Cameros",11
"4912","1998","Mujeres","26077 Hornillos de Cameros",12
"4913","1997","Mujeres","26077 Hornillos de Cameros",NA
"4914","1996","Mujeres","26077 Hornillos de Cameros",12
"4915","2016","Total","26078 Hornos de Moncalvillo",91
"4916","2015","Total","26078 Hornos de Moncalvillo",91
"4917","2014","Total","26078 Hornos de Moncalvillo",86
"4918","2013","Total","26078 Hornos de Moncalvillo",95
"4919","2012","Total","26078 Hornos de Moncalvillo",94
"4920","2011","Total","26078 Hornos de Moncalvillo",96
"4921","2010","Total","26078 Hornos de Moncalvillo",96
"4922","2009","Total","26078 Hornos de Moncalvillo",95
"4923","2008","Total","26078 Hornos de Moncalvillo",97
"4924","2007","Total","26078 Hornos de Moncalvillo",99
"4925","2006","Total","26078 Hornos de Moncalvillo",80
"4926","2005","Total","26078 Hornos de Moncalvillo",86
"4927","2004","Total","26078 Hornos de Moncalvillo",93
"4928","2003","Total","26078 Hornos de Moncalvillo",91
"4929","2002","Total","26078 Hornos de Moncalvillo",89
"4930","2001","Total","26078 Hornos de Moncalvillo",92
"4931","2000","Total","26078 Hornos de Moncalvillo",95
"4932","1999","Total","26078 Hornos de Moncalvillo",96
"4933","1998","Total","26078 Hornos de Moncalvillo",99
"4934","1997","Total","26078 Hornos de Moncalvillo",NA
"4935","1996","Total","26078 Hornos de Moncalvillo",98
"4936","2016","Hombres","26078 Hornos de Moncalvillo",55
"4937","2015","Hombres","26078 Hornos de Moncalvillo",56
"4938","2014","Hombres","26078 Hornos de Moncalvillo",50
"4939","2013","Hombres","26078 Hornos de Moncalvillo",52
"4940","2012","Hombres","26078 Hornos de Moncalvillo",55
"4941","2011","Hombres","26078 Hornos de Moncalvillo",56
"4942","2010","Hombres","26078 Hornos de Moncalvillo",54
"4943","2009","Hombres","26078 Hornos de Moncalvillo",52
"4944","2008","Hombres","26078 Hornos de Moncalvillo",53
"4945","2007","Hombres","26078 Hornos de Moncalvillo",55
"4946","2006","Hombres","26078 Hornos de Moncalvillo",42
"4947","2005","Hombres","26078 Hornos de Moncalvillo",45
"4948","2004","Hombres","26078 Hornos de Moncalvillo",48
"4949","2003","Hombres","26078 Hornos de Moncalvillo",45
"4950","2002","Hombres","26078 Hornos de Moncalvillo",42
"4951","2001","Hombres","26078 Hornos de Moncalvillo",42
"4952","2000","Hombres","26078 Hornos de Moncalvillo",44
"4953","1999","Hombres","26078 Hornos de Moncalvillo",45
"4954","1998","Hombres","26078 Hornos de Moncalvillo",48
"4955","1997","Hombres","26078 Hornos de Moncalvillo",NA
"4956","1996","Hombres","26078 Hornos de Moncalvillo",48
"4957","2016","Mujeres","26078 Hornos de Moncalvillo",36
"4958","2015","Mujeres","26078 Hornos de Moncalvillo",35
"4959","2014","Mujeres","26078 Hornos de Moncalvillo",36
"4960","2013","Mujeres","26078 Hornos de Moncalvillo",43
"4961","2012","Mujeres","26078 Hornos de Moncalvillo",39
"4962","2011","Mujeres","26078 Hornos de Moncalvillo",40
"4963","2010","Mujeres","26078 Hornos de Moncalvillo",42
"4964","2009","Mujeres","26078 Hornos de Moncalvillo",43
"4965","2008","Mujeres","26078 Hornos de Moncalvillo",44
"4966","2007","Mujeres","26078 Hornos de Moncalvillo",44
"4967","2006","Mujeres","26078 Hornos de Moncalvillo",38
"4968","2005","Mujeres","26078 Hornos de Moncalvillo",41
"4969","2004","Mujeres","26078 Hornos de Moncalvillo",45
"4970","2003","Mujeres","26078 Hornos de Moncalvillo",46
"4971","2002","Mujeres","26078 Hornos de Moncalvillo",47
"4972","2001","Mujeres","26078 Hornos de Moncalvillo",50
"4973","2000","Mujeres","26078 Hornos de Moncalvillo",51
"4974","1999","Mujeres","26078 Hornos de Moncalvillo",51
"4975","1998","Mujeres","26078 Hornos de Moncalvillo",51
"4976","1997","Mujeres","26078 Hornos de Moncalvillo",NA
"4977","1996","Mujeres","26078 Hornos de Moncalvillo",50
"4978","2016","Total","26079 Huércanos",845
"4979","2015","Total","26079 Huércanos",852
"4980","2014","Total","26079 Huércanos",857
"4981","2013","Total","26079 Huércanos",878
"4982","2012","Total","26079 Huércanos",902
"4983","2011","Total","26079 Huércanos",917
"4984","2010","Total","26079 Huércanos",927
"4985","2009","Total","26079 Huércanos",903
"4986","2008","Total","26079 Huércanos",919
"4987","2007","Total","26079 Huércanos",912
"4988","2006","Total","26079 Huércanos",882
"4989","2005","Total","26079 Huércanos",915
"4990","2004","Total","26079 Huércanos",895
"4991","2003","Total","26079 Huércanos",898
"4992","2002","Total","26079 Huércanos",910
"4993","2001","Total","26079 Huércanos",918
"4994","2000","Total","26079 Huércanos",889
"4995","1999","Total","26079 Huércanos",877
"4996","1998","Total","26079 Huércanos",877
"4997","1997","Total","26079 Huércanos",NA
"4998","1996","Total","26079 Huércanos",895
"4999","2016","Hombres","26079 Huércanos",458
"5000","2015","Hombres","26079 Huércanos",457
"5001","2014","Hombres","26079 Huércanos",461
"5002","2013","Hombres","26079 Huércanos",468
"5003","2012","Hombres","26079 Huércanos",475
"5004","2011","Hombres","26079 Huércanos",488
"5005","2010","Hombres","26079 Huércanos",492
"5006","2009","Hombres","26079 Huércanos",481
"5007","2008","Hombres","26079 Huércanos",487
"5008","2007","Hombres","26079 Huércanos",483
"5009","2006","Hombres","26079 Huércanos",471
"5010","2005","Hombres","26079 Huércanos",484
"5011","2004","Hombres","26079 Huércanos",476
"5012","2003","Hombres","26079 Huércanos",477
"5013","2002","Hombres","26079 Huércanos",481
"5014","2001","Hombres","26079 Huércanos",476
"5015","2000","Hombres","26079 Huércanos",459
"5016","1999","Hombres","26079 Huércanos",448
"5017","1998","Hombres","26079 Huércanos",448
"5018","1997","Hombres","26079 Huércanos",NA
"5019","1996","Hombres","26079 Huércanos",457
"5020","2016","Mujeres","26079 Huércanos",387
"5021","2015","Mujeres","26079 Huércanos",395
"5022","2014","Mujeres","26079 Huércanos",396
"5023","2013","Mujeres","26079 Huércanos",410
"5024","2012","Mujeres","26079 Huércanos",427
"5025","2011","Mujeres","26079 Huércanos",429
"5026","2010","Mujeres","26079 Huércanos",435
"5027","2009","Mujeres","26079 Huércanos",422
"5028","2008","Mujeres","26079 Huércanos",432
"5029","2007","Mujeres","26079 Huércanos",429
"5030","2006","Mujeres","26079 Huércanos",411
"5031","2005","Mujeres","26079 Huércanos",431
"5032","2004","Mujeres","26079 Huércanos",419
"5033","2003","Mujeres","26079 Huércanos",421
"5034","2002","Mujeres","26079 Huércanos",429
"5035","2001","Mujeres","26079 Huércanos",442
"5036","2000","Mujeres","26079 Huércanos",430
"5037","1999","Mujeres","26079 Huércanos",429
"5038","1998","Mujeres","26079 Huércanos",429
"5039","1997","Mujeres","26079 Huércanos",NA
"5040","1996","Mujeres","26079 Huércanos",438
"5041","2016","Total","26080 Igea",603
"5042","2015","Total","26080 Igea",612
"5043","2014","Total","26080 Igea",644
"5044","2013","Total","26080 Igea",689
"5045","2012","Total","26080 Igea",698
"5046","2011","Total","26080 Igea",729
"5047","2010","Total","26080 Igea",744
"5048","2009","Total","26080 Igea",706
"5049","2008","Total","26080 Igea",720
"5050","2007","Total","26080 Igea",707
"5051","2006","Total","26080 Igea",689
"5052","2005","Total","26080 Igea",699
"5053","2004","Total","26080 Igea",732
"5054","2003","Total","26080 Igea",740
"5055","2002","Total","26080 Igea",770
"5056","2001","Total","26080 Igea",750
"5057","2000","Total","26080 Igea",766
"5058","1999","Total","26080 Igea",774
"5059","1998","Total","26080 Igea",792
"5060","1997","Total","26080 Igea",NA
"5061","1996","Total","26080 Igea",820
"5062","2016","Hombres","26080 Igea",333
"5063","2015","Hombres","26080 Igea",339
"5064","2014","Hombres","26080 Igea",361
"5065","2013","Hombres","26080 Igea",396
"5066","2012","Hombres","26080 Igea",406
"5067","2011","Hombres","26080 Igea",427
"5068","2010","Hombres","26080 Igea",433
"5069","2009","Hombres","26080 Igea",406
"5070","2008","Hombres","26080 Igea",413
"5071","2007","Hombres","26080 Igea",402
"5072","2006","Hombres","26080 Igea",385
"5073","2005","Hombres","26080 Igea",388
"5074","2004","Hombres","26080 Igea",405
"5075","2003","Hombres","26080 Igea",410
"5076","2002","Hombres","26080 Igea",430
"5077","2001","Hombres","26080 Igea",410
"5078","2000","Hombres","26080 Igea",415
"5079","1999","Hombres","26080 Igea",418
"5080","1998","Hombres","26080 Igea",423
"5081","1997","Hombres","26080 Igea",NA
"5082","1996","Hombres","26080 Igea",445
"5083","2016","Mujeres","26080 Igea",270
"5084","2015","Mujeres","26080 Igea",273
"5085","2014","Mujeres","26080 Igea",283
"5086","2013","Mujeres","26080 Igea",293
"5087","2012","Mujeres","26080 Igea",292
"5088","2011","Mujeres","26080 Igea",302
"5089","2010","Mujeres","26080 Igea",311
"5090","2009","Mujeres","26080 Igea",300
"5091","2008","Mujeres","26080 Igea",307
"5092","2007","Mujeres","26080 Igea",305
"5093","2006","Mujeres","26080 Igea",304
"5094","2005","Mujeres","26080 Igea",311
"5095","2004","Mujeres","26080 Igea",327
"5096","2003","Mujeres","26080 Igea",330
"5097","2002","Mujeres","26080 Igea",340
"5098","2001","Mujeres","26080 Igea",340
"5099","2000","Mujeres","26080 Igea",351
"5100","1999","Mujeres","26080 Igea",356
"5101","1998","Mujeres","26080 Igea",369
"5102","1997","Mujeres","26080 Igea",NA
"5103","1996","Mujeres","26080 Igea",375
"5104","2016","Total","26081 Jalón de Cameros",17
"5105","2015","Total","26081 Jalón de Cameros",18
"5106","2014","Total","26081 Jalón de Cameros",18
"5107","2013","Total","26081 Jalón de Cameros",21
"5108","2012","Total","26081 Jalón de Cameros",23
"5109","2011","Total","26081 Jalón de Cameros",24
"5110","2010","Total","26081 Jalón de Cameros",29
"5111","2009","Total","26081 Jalón de Cameros",26
"5112","2008","Total","26081 Jalón de Cameros",24
"5113","2007","Total","26081 Jalón de Cameros",35
"5114","2006","Total","26081 Jalón de Cameros",39
"5115","2005","Total","26081 Jalón de Cameros",39
"5116","2004","Total","26081 Jalón de Cameros",47
"5117","2003","Total","26081 Jalón de Cameros",48
"5118","2002","Total","26081 Jalón de Cameros",49
"5119","2001","Total","26081 Jalón de Cameros",48
"5120","2000","Total","26081 Jalón de Cameros",47
"5121","1999","Total","26081 Jalón de Cameros",37
"5122","1998","Total","26081 Jalón de Cameros",36
"5123","1997","Total","26081 Jalón de Cameros",NA
"5124","1996","Total","26081 Jalón de Cameros",33
"5125","2016","Hombres","26081 Jalón de Cameros",9
"5126","2015","Hombres","26081 Jalón de Cameros",10
"5127","2014","Hombres","26081 Jalón de Cameros",10
"5128","2013","Hombres","26081 Jalón de Cameros",11
"5129","2012","Hombres","26081 Jalón de Cameros",12
"5130","2011","Hombres","26081 Jalón de Cameros",14
"5131","2010","Hombres","26081 Jalón de Cameros",17
"5132","2009","Hombres","26081 Jalón de Cameros",15
"5133","2008","Hombres","26081 Jalón de Cameros",15
"5134","2007","Hombres","26081 Jalón de Cameros",21
"5135","2006","Hombres","26081 Jalón de Cameros",26
"5136","2005","Hombres","26081 Jalón de Cameros",25
"5137","2004","Hombres","26081 Jalón de Cameros",28
"5138","2003","Hombres","26081 Jalón de Cameros",29
"5139","2002","Hombres","26081 Jalón de Cameros",28
"5140","2001","Hombres","26081 Jalón de Cameros",27
"5141","2000","Hombres","26081 Jalón de Cameros",27
"5142","1999","Hombres","26081 Jalón de Cameros",20
"5143","1998","Hombres","26081 Jalón de Cameros",20
"5144","1997","Hombres","26081 Jalón de Cameros",NA
"5145","1996","Hombres","26081 Jalón de Cameros",19
"5146","2016","Mujeres","26081 Jalón de Cameros",8
"5147","2015","Mujeres","26081 Jalón de Cameros",8
"5148","2014","Mujeres","26081 Jalón de Cameros",8
"5149","2013","Mujeres","26081 Jalón de Cameros",10
"5150","2012","Mujeres","26081 Jalón de Cameros",11
"5151","2011","Mujeres","26081 Jalón de Cameros",10
"5152","2010","Mujeres","26081 Jalón de Cameros",12
"5153","2009","Mujeres","26081 Jalón de Cameros",11
"5154","2008","Mujeres","26081 Jalón de Cameros",9
"5155","2007","Mujeres","26081 Jalón de Cameros",14
"5156","2006","Mujeres","26081 Jalón de Cameros",13
"5157","2005","Mujeres","26081 Jalón de Cameros",14
"5158","2004","Mujeres","26081 Jalón de Cameros",19
"5159","2003","Mujeres","26081 Jalón de Cameros",19
"5160","2002","Mujeres","26081 Jalón de Cameros",21
"5161","2001","Mujeres","26081 Jalón de Cameros",21
"5162","2000","Mujeres","26081 Jalón de Cameros",20
"5163","1999","Mujeres","26081 Jalón de Cameros",17
"5164","1998","Mujeres","26081 Jalón de Cameros",16
"5165","1997","Mujeres","26081 Jalón de Cameros",NA
"5166","1996","Mujeres","26081 Jalón de Cameros",14
"5167","2016","Total","26082 Laguna de Cameros",125
"5168","2015","Total","26082 Laguna de Cameros",128
"5169","2014","Total","26082 Laguna de Cameros",120
"5170","2013","Total","26082 Laguna de Cameros",121
"5171","2012","Total","26082 Laguna de Cameros",135
"5172","2011","Total","26082 Laguna de Cameros",142
"5173","2010","Total","26082 Laguna de Cameros",139
"5174","2009","Total","26082 Laguna de Cameros",143
"5175","2008","Total","26082 Laguna de Cameros",137
"5176","2007","Total","26082 Laguna de Cameros",145
"5177","2006","Total","26082 Laguna de Cameros",148
"5178","2005","Total","26082 Laguna de Cameros",154
"5179","2004","Total","26082 Laguna de Cameros",164
"5180","2003","Total","26082 Laguna de Cameros",164
"5181","2002","Total","26082 Laguna de Cameros",167
"5182","2001","Total","26082 Laguna de Cameros",174
"5183","2000","Total","26082 Laguna de Cameros",176
"5184","1999","Total","26082 Laguna de Cameros",178
"5185","1998","Total","26082 Laguna de Cameros",174
"5186","1997","Total","26082 Laguna de Cameros",NA
"5187","1996","Total","26082 Laguna de Cameros",169
"5188","2016","Hombres","26082 Laguna de Cameros",74
"5189","2015","Hombres","26082 Laguna de Cameros",74
"5190","2014","Hombres","26082 Laguna de Cameros",72
"5191","2013","Hombres","26082 Laguna de Cameros",73
"5192","2012","Hombres","26082 Laguna de Cameros",80
"5193","2011","Hombres","26082 Laguna de Cameros",85
"5194","2010","Hombres","26082 Laguna de Cameros",84
"5195","2009","Hombres","26082 Laguna de Cameros",86
"5196","2008","Hombres","26082 Laguna de Cameros",83
"5197","2007","Hombres","26082 Laguna de Cameros",89
"5198","2006","Hombres","26082 Laguna de Cameros",91
"5199","2005","Hombres","26082 Laguna de Cameros",93
"5200","2004","Hombres","26082 Laguna de Cameros",98
"5201","2003","Hombres","26082 Laguna de Cameros",97
"5202","2002","Hombres","26082 Laguna de Cameros",97
"5203","2001","Hombres","26082 Laguna de Cameros",98
"5204","2000","Hombres","26082 Laguna de Cameros",98
"5205","1999","Hombres","26082 Laguna de Cameros",98
"5206","1998","Hombres","26082 Laguna de Cameros",100
"5207","1997","Hombres","26082 Laguna de Cameros",NA
"5208","1996","Hombres","26082 Laguna de Cameros",98
"5209","2016","Mujeres","26082 Laguna de Cameros",51
"5210","2015","Mujeres","26082 Laguna de Cameros",54
"5211","2014","Mujeres","26082 Laguna de Cameros",48
"5212","2013","Mujeres","26082 Laguna de Cameros",48
"5213","2012","Mujeres","26082 Laguna de Cameros",55
"5214","2011","Mujeres","26082 Laguna de Cameros",57
"5215","2010","Mujeres","26082 Laguna de Cameros",55
"5216","2009","Mujeres","26082 Laguna de Cameros",57
"5217","2008","Mujeres","26082 Laguna de Cameros",54
"5218","2007","Mujeres","26082 Laguna de Cameros",56
"5219","2006","Mujeres","26082 Laguna de Cameros",57
"5220","2005","Mujeres","26082 Laguna de Cameros",61
"5221","2004","Mujeres","26082 Laguna de Cameros",66
"5222","2003","Mujeres","26082 Laguna de Cameros",67
"5223","2002","Mujeres","26082 Laguna de Cameros",70
"5224","2001","Mujeres","26082 Laguna de Cameros",76
"5225","2000","Mujeres","26082 Laguna de Cameros",78
"5226","1999","Mujeres","26082 Laguna de Cameros",80
"5227","1998","Mujeres","26082 Laguna de Cameros",74
"5228","1997","Mujeres","26082 Laguna de Cameros",NA
"5229","1996","Mujeres","26082 Laguna de Cameros",71
"5230","2016","Total","26083 Lagunilla del Jubera",309
"5231","2015","Total","26083 Lagunilla del Jubera",327
"5232","2014","Total","26083 Lagunilla del Jubera",309
"5233","2013","Total","26083 Lagunilla del Jubera",324
"5234","2012","Total","26083 Lagunilla del Jubera",327
"5235","2011","Total","26083 Lagunilla del Jubera",356
"5236","2010","Total","26083 Lagunilla del Jubera",320
"5237","2009","Total","26083 Lagunilla del Jubera",334
"5238","2008","Total","26083 Lagunilla del Jubera",359
"5239","2007","Total","26083 Lagunilla del Jubera",359
"5240","2006","Total","26083 Lagunilla del Jubera",376
"5241","2005","Total","26083 Lagunilla del Jubera",411
"5242","2004","Total","26083 Lagunilla del Jubera",428
"5243","2003","Total","26083 Lagunilla del Jubera",290
"5244","2002","Total","26083 Lagunilla del Jubera",307
"5245","2001","Total","26083 Lagunilla del Jubera",320
"5246","2000","Total","26083 Lagunilla del Jubera",332
"5247","1999","Total","26083 Lagunilla del Jubera",349
"5248","1998","Total","26083 Lagunilla del Jubera",357
"5249","1997","Total","26083 Lagunilla del Jubera",NA
"5250","1996","Total","26083 Lagunilla del Jubera",386
"5251","2016","Hombres","26083 Lagunilla del Jubera",169
"5252","2015","Hombres","26083 Lagunilla del Jubera",182
"5253","2014","Hombres","26083 Lagunilla del Jubera",169
"5254","2013","Hombres","26083 Lagunilla del Jubera",181
"5255","2012","Hombres","26083 Lagunilla del Jubera",184
"5256","2011","Hombres","26083 Lagunilla del Jubera",199
"5257","2010","Hombres","26083 Lagunilla del Jubera",176
"5258","2009","Hombres","26083 Lagunilla del Jubera",189
"5259","2008","Hombres","26083 Lagunilla del Jubera",201
"5260","2007","Hombres","26083 Lagunilla del Jubera",198
"5261","2006","Hombres","26083 Lagunilla del Jubera",206
"5262","2005","Hombres","26083 Lagunilla del Jubera",228
"5263","2004","Hombres","26083 Lagunilla del Jubera",235
"5264","2003","Hombres","26083 Lagunilla del Jubera",157
"5265","2002","Hombres","26083 Lagunilla del Jubera",166
"5266","2001","Hombres","26083 Lagunilla del Jubera",171
"5267","2000","Hombres","26083 Lagunilla del Jubera",178
"5268","1999","Hombres","26083 Lagunilla del Jubera",186
"5269","1998","Hombres","26083 Lagunilla del Jubera",192
"5270","1997","Hombres","26083 Lagunilla del Jubera",NA
"5271","1996","Hombres","26083 Lagunilla del Jubera",208
"5272","2016","Mujeres","26083 Lagunilla del Jubera",140
"5273","2015","Mujeres","26083 Lagunilla del Jubera",145
"5274","2014","Mujeres","26083 Lagunilla del Jubera",140
"5275","2013","Mujeres","26083 Lagunilla del Jubera",143
"5276","2012","Mujeres","26083 Lagunilla del Jubera",143
"5277","2011","Mujeres","26083 Lagunilla del Jubera",157
"5278","2010","Mujeres","26083 Lagunilla del Jubera",144
"5279","2009","Mujeres","26083 Lagunilla del Jubera",145
"5280","2008","Mujeres","26083 Lagunilla del Jubera",158
"5281","2007","Mujeres","26083 Lagunilla del Jubera",161
"5282","2006","Mujeres","26083 Lagunilla del Jubera",170
"5283","2005","Mujeres","26083 Lagunilla del Jubera",183
"5284","2004","Mujeres","26083 Lagunilla del Jubera",193
"5285","2003","Mujeres","26083 Lagunilla del Jubera",133
"5286","2002","Mujeres","26083 Lagunilla del Jubera",141
"5287","2001","Mujeres","26083 Lagunilla del Jubera",149
"5288","2000","Mujeres","26083 Lagunilla del Jubera",154
"5289","1999","Mujeres","26083 Lagunilla del Jubera",163
"5290","1998","Mujeres","26083 Lagunilla del Jubera",165
"5291","1997","Mujeres","26083 Lagunilla del Jubera",NA
"5292","1996","Mujeres","26083 Lagunilla del Jubera",178
"5293","2016","Total","26084 Lardero",9620
"5294","2015","Total","26084 Lardero",9448
"5295","2014","Total","26084 Lardero",9306
"5296","2013","Total","26084 Lardero",9121
"5297","2012","Total","26084 Lardero",8750
"5298","2011","Total","26084 Lardero",8438
"5299","2010","Total","26084 Lardero",8118
"5300","2009","Total","26084 Lardero",7968
"5301","2008","Total","26084 Lardero",7673
"5302","2007","Total","26084 Lardero",7378
"5303","2006","Total","26084 Lardero",6832
"5304","2005","Total","26084 Lardero",6286
"5305","2004","Total","26084 Lardero",5628
"5306","2003","Total","26084 Lardero",5062
"5307","2002","Total","26084 Lardero",4654
"5308","2001","Total","26084 Lardero",3210
"5309","2000","Total","26084 Lardero",3183
"5310","1999","Total","26084 Lardero",3421
"5311","1998","Total","26084 Lardero",3421
"5312","1997","Total","26084 Lardero",NA
"5313","1996","Total","26084 Lardero",3729
"5314","2016","Hombres","26084 Lardero",4866
"5315","2015","Hombres","26084 Lardero",4788
"5316","2014","Hombres","26084 Lardero",4739
"5317","2013","Hombres","26084 Lardero",4655
"5318","2012","Hombres","26084 Lardero",4438
"5319","2011","Hombres","26084 Lardero",4299
"5320","2010","Hombres","26084 Lardero",4150
"5321","2009","Hombres","26084 Lardero",4087
"5322","2008","Hombres","26084 Lardero",3941
"5323","2007","Hombres","26084 Lardero",3781
"5324","2006","Hombres","26084 Lardero",3488
"5325","2005","Hombres","26084 Lardero",3193
"5326","2004","Hombres","26084 Lardero",2866
"5327","2003","Hombres","26084 Lardero",2603
"5328","2002","Hombres","26084 Lardero",2391
"5329","2001","Hombres","26084 Lardero",1619
"5330","2000","Hombres","26084 Lardero",1592
"5331","1999","Hombres","26084 Lardero",1719
"5332","1998","Hombres","26084 Lardero",1719
"5333","1997","Hombres","26084 Lardero",NA
"5334","1996","Hombres","26084 Lardero",1859
"5335","2016","Mujeres","26084 Lardero",4754
"5336","2015","Mujeres","26084 Lardero",4660
"5337","2014","Mujeres","26084 Lardero",4567
"5338","2013","Mujeres","26084 Lardero",4466
"5339","2012","Mujeres","26084 Lardero",4312
"5340","2011","Mujeres","26084 Lardero",4139
"5341","2010","Mujeres","26084 Lardero",3968
"5342","2009","Mujeres","26084 Lardero",3881
"5343","2008","Mujeres","26084 Lardero",3732
"5344","2007","Mujeres","26084 Lardero",3597
"5345","2006","Mujeres","26084 Lardero",3344
"5346","2005","Mujeres","26084 Lardero",3093
"5347","2004","Mujeres","26084 Lardero",2762
"5348","2003","Mujeres","26084 Lardero",2459
"5349","2002","Mujeres","26084 Lardero",2263
"5350","2001","Mujeres","26084 Lardero",1591
"5351","2000","Mujeres","26084 Lardero",1591
"5352","1999","Mujeres","26084 Lardero",1702
"5353","1998","Mujeres","26084 Lardero",1702
"5354","1997","Mujeres","26084 Lardero",NA
"5355","1996","Mujeres","26084 Lardero",1870
"5356","2016","Total","26086 Ledesma de la Cogolla",16
"5357","2015","Total","26086 Ledesma de la Cogolla",18
"5358","2014","Total","26086 Ledesma de la Cogolla",19
"5359","2013","Total","26086 Ledesma de la Cogolla",19
"5360","2012","Total","26086 Ledesma de la Cogolla",19
"5361","2011","Total","26086 Ledesma de la Cogolla",22
"5362","2010","Total","26086 Ledesma de la Cogolla",21
"5363","2009","Total","26086 Ledesma de la Cogolla",25
"5364","2008","Total","26086 Ledesma de la Cogolla",27
"5365","2007","Total","26086 Ledesma de la Cogolla",27
"5366","2006","Total","26086 Ledesma de la Cogolla",27
"5367","2005","Total","26086 Ledesma de la Cogolla",22
