"","Edad..grupos.quinquenales.","Municipios","Sexo","value"
"261","60-64","08013 Avinyonet del Penedès","Ambos sexos",53
"262","65-69","08013 Avinyonet del Penedès","Ambos sexos",83
"263","70-74","08013 Avinyonet del Penedès","Ambos sexos",59
"264","75-79","08013 Avinyonet del Penedès","Ambos sexos",61
"265","80-84","08013 Avinyonet del Penedès","Ambos sexos",40
"266","85 y más","08013 Avinyonet del Penedès","Ambos sexos",38
"267","Total","08014 Aiguafreda","Ambos sexos",2175
"268","0-4","08014 Aiguafreda","Ambos sexos",96
"269","05-09","08014 Aiguafreda","Ambos sexos",99
"270","10-14","08014 Aiguafreda","Ambos sexos",83
"271","15-19","08014 Aiguafreda","Ambos sexos",103
"272","20-24","08014 Aiguafreda","Ambos sexos",169
"273","25-29","08014 Aiguafreda","Ambos sexos",167
"274","30-34","08014 Aiguafreda","Ambos sexos",181
"275","35-39","08014 Aiguafreda","Ambos sexos",180
"276","40-44","08014 Aiguafreda","Ambos sexos",163
"277","45-49","08014 Aiguafreda","Ambos sexos",130
"278","50-54","08014 Aiguafreda","Ambos sexos",139
"279","55-59","08014 Aiguafreda","Ambos sexos",126
"280","60-64","08014 Aiguafreda","Ambos sexos",117
"281","65-69","08014 Aiguafreda","Ambos sexos",121
"282","70-74","08014 Aiguafreda","Ambos sexos",103
"283","75-79","08014 Aiguafreda","Ambos sexos",91
"284","80-84","08014 Aiguafreda","Ambos sexos",60
"285","85 y más","08014 Aiguafreda","Ambos sexos",47
"286","Total","08015 Badalona","Ambos sexos",210370
"287","0-4","08015 Badalona","Ambos sexos",9833
"288","05-09","08015 Badalona","Ambos sexos",9159
"289","10-14","08015 Badalona","Ambos sexos",10057
"290","15-19","08015 Badalona","Ambos sexos",12653
"291","20-24","08015 Badalona","Ambos sexos",18277
"292","25-29","08015 Badalona","Ambos sexos",20126
"293","30-34","08015 Badalona","Ambos sexos",17978
"294","35-39","08015 Badalona","Ambos sexos",16325
"295","40-44","08015 Badalona","Ambos sexos",14821
"296","45-49","08015 Badalona","Ambos sexos",14804
"297","50-54","08015 Badalona","Ambos sexos",14163
"298","55-59","08015 Badalona","Ambos sexos",12287
"299","60-64","08015 Badalona","Ambos sexos",9253
"300","65-69","08015 Badalona","Ambos sexos",9603
"301","70-74","08015 Badalona","Ambos sexos",8346
"302","75-79","08015 Badalona","Ambos sexos",6276
"303","80-84","08015 Badalona","Ambos sexos",3680
"304","85 y más","08015 Badalona","Ambos sexos",2729
"305","Total","08016 Bagà","Ambos sexos",2133
"306","0-4","08016 Bagà","Ambos sexos",74
"307","05-09","08016 Bagà","Ambos sexos",86
"308","10-14","08016 Bagà","Ambos sexos",103
"309","15-19","08016 Bagà","Ambos sexos",114
"310","20-24","08016 Bagà","Ambos sexos",126
"311","25-29","08016 Bagà","Ambos sexos",127
"312","30-34","08016 Bagà","Ambos sexos",129
"313","35-39","08016 Bagà","Ambos sexos",188
"314","40-44","08016 Bagà","Ambos sexos",183
"315","45-49","08016 Bagà","Ambos sexos",152
"316","50-54","08016 Bagà","Ambos sexos",124
"317","55-59","08016 Bagà","Ambos sexos",101
"318","60-64","08016 Bagà","Ambos sexos",103
"319","65-69","08016 Bagà","Ambos sexos",143
"320","70-74","08016 Bagà","Ambos sexos",141
"321","75-79","08016 Bagà","Ambos sexos",106
"322","80-84","08016 Bagà","Ambos sexos",76
"323","85 y más","08016 Bagà","Ambos sexos",57
"324","Total","08017 Balenyà","Ambos sexos",3208
"325","0-4","08017 Balenyà","Ambos sexos",168
"326","05-09","08017 Balenyà","Ambos sexos",164
"327","10-14","08017 Balenyà","Ambos sexos",175
"328","15-19","08017 Balenyà","Ambos sexos",219
"329","20-24","08017 Balenyà","Ambos sexos",260
"330","25-29","08017 Balenyà","Ambos sexos",280
"331","30-34","08017 Balenyà","Ambos sexos",251
"332","35-39","08017 Balenyà","Ambos sexos",269
"333","40-44","08017 Balenyà","Ambos sexos",272
"334","45-49","08017 Balenyà","Ambos sexos",233
"335","50-54","08017 Balenyà","Ambos sexos",159
"336","55-59","08017 Balenyà","Ambos sexos",150
"337","60-64","08017 Balenyà","Ambos sexos",132
"338","65-69","08017 Balenyà","Ambos sexos",149
"339","70-74","08017 Balenyà","Ambos sexos",123
"340","75-79","08017 Balenyà","Ambos sexos",96
"341","80-84","08017 Balenyà","Ambos sexos",60
"342","85 y más","08017 Balenyà","Ambos sexos",48
"343","Total","08018 Balsareny","Ambos sexos",3238
"344","0-4","08018 Balsareny","Ambos sexos",105
"345","05-09","08018 Balsareny","Ambos sexos",141
"346","10-14","08018 Balsareny","Ambos sexos",154
"347","15-19","08018 Balsareny","Ambos sexos",172
"348","20-24","08018 Balsareny","Ambos sexos",231
"349","25-29","08018 Balsareny","Ambos sexos",236
"350","30-34","08018 Balsareny","Ambos sexos",223
"351","35-39","08018 Balsareny","Ambos sexos",240
"352","40-44","08018 Balsareny","Ambos sexos",302
"353","45-49","08018 Balsareny","Ambos sexos",239
"354","50-54","08018 Balsareny","Ambos sexos",183
"355","55-59","08018 Balsareny","Ambos sexos",159
"356","60-64","08018 Balsareny","Ambos sexos",140
"357","65-69","08018 Balsareny","Ambos sexos",191
"358","70-74","08018 Balsareny","Ambos sexos",199
"359","75-79","08018 Balsareny","Ambos sexos",151
"360","80-84","08018 Balsareny","Ambos sexos",88
"361","85 y más","08018 Balsareny","Ambos sexos",84
"362","Total","08019 Barcelona","Ambos sexos",1527190
"363","0-4","08019 Barcelona","Ambos sexos",61558
"364","05-09","08019 Barcelona","Ambos sexos",57029
"365","10-14","08019 Barcelona","Ambos sexos",57912
"366","15-19","08019 Barcelona","Ambos sexos",69694
"367","20-24","08019 Barcelona","Ambos sexos",101024
"368","25-29","08019 Barcelona","Ambos sexos",128121
"369","30-34","08019 Barcelona","Ambos sexos",121499
"370","35-39","08019 Barcelona","Ambos sexos",117087
"371","40-44","08019 Barcelona","Ambos sexos",108798
"372","45-49","08019 Barcelona","Ambos sexos",98610
"373","50-54","08019 Barcelona","Ambos sexos",98809
"374","55-59","08019 Barcelona","Ambos sexos",94109
"375","60-64","08019 Barcelona","Ambos sexos",79256
"376","65-69","08019 Barcelona","Ambos sexos",90717
"377","70-74","08019 Barcelona","Ambos sexos",85387
"378","75-79","08019 Barcelona","Ambos sexos",72232
"379","80-84","08019 Barcelona","Ambos sexos",45887
"380","85 y más","08019 Barcelona","Ambos sexos",39461
"381","Total","08020 Begues","Ambos sexos",4775
"382","0-4","08020 Begues","Ambos sexos",361
"383","05-09","08020 Begues","Ambos sexos",347
"384","10-14","08020 Begues","Ambos sexos",314
"385","15-19","08020 Begues","Ambos sexos",258
"386","20-24","08020 Begues","Ambos sexos",292
"387","25-29","08020 Begues","Ambos sexos",328
"388","30-34","08020 Begues","Ambos sexos",418
"389","35-39","08020 Begues","Ambos sexos",550
"390","40-44","08020 Begues","Ambos sexos",486
"391","45-49","08020 Begues","Ambos sexos",374
"392","50-54","08020 Begues","Ambos sexos",282
"393","55-59","08020 Begues","Ambos sexos",195
"394","60-64","08020 Begues","Ambos sexos",111
"395","65-69","08020 Begues","Ambos sexos",140
"396","70-74","08020 Begues","Ambos sexos",131
"397","75-79","08020 Begues","Ambos sexos",88
"398","80-84","08020 Begues","Ambos sexos",50
"399","85 y más","08020 Begues","Ambos sexos",50
