"","Edad..grupos.quinquenales.","Municipios","Sexo","value"
"13546","80-84","08088 Garriga (La)","Mujeres",165
"13547","85 y más","08088 Garriga (La)","Mujeres",158
"13548","Total","08089 Gavà","Mujeres",20598
"13549","0-4","08089 Gavà","Mujeres",1082
"13550","05-09","08089 Gavà","Mujeres",967
"13551","10-14","08089 Gavà","Mujeres",1015
"13552","15-19","08089 Gavà","Mujeres",1246
"13553","20-24","08089 Gavà","Mujeres",1531
"13554","25-29","08089 Gavà","Mujeres",1825
"13555","30-34","08089 Gavà","Mujeres",1897
"13556","35-39","08089 Gavà","Mujeres",1761
"13557","40-44","08089 Gavà","Mujeres",1601
"13558","45-49","08089 Gavà","Mujeres",1424
"13559","50-54","08089 Gavà","Mujeres",1265
"13560","55-59","08089 Gavà","Mujeres",1121
"13561","60-64","08089 Gavà","Mujeres",848
"13562","65-69","08089 Gavà","Mujeres",951
"13563","70-74","08089 Gavà","Mujeres",804
"13564","75-79","08089 Gavà","Mujeres",571
"13565","80-84","08089 Gavà","Mujeres",329
"13566","85 y más","08089 Gavà","Mujeres",360
"13567","Total","08090 Gaià","Mujeres",71
"13568","0-4","08090 Gaià","Mujeres",2
"13569","05-09","08090 Gaià","Mujeres",2
"13570","10-14","08090 Gaià","Mujeres",6
"13571","15-19","08090 Gaià","Mujeres",5
"13572","20-24","08090 Gaià","Mujeres",4
"13573","25-29","08090 Gaià","Mujeres",4
"13574","30-34","08090 Gaià","Mujeres",7
"13575","35-39","08090 Gaià","Mujeres",6
"13576","40-44","08090 Gaià","Mujeres",7
"13577","45-49","08090 Gaià","Mujeres",3
"13578","50-54","08090 Gaià","Mujeres",6
"13579","55-59","08090 Gaià","Mujeres",5
"13580","60-64","08090 Gaià","Mujeres",3
"13581","65-69","08090 Gaià","Mujeres",4
"13582","70-74","08090 Gaià","Mujeres",4
"13583","75-79","08090 Gaià","Mujeres",2
"13584","80-84","08090 Gaià","Mujeres",0
"13585","85 y más","08090 Gaià","Mujeres",1
"13586","Total","08091 Gelida","Mujeres",2301
"13587","0-4","08091 Gelida","Mujeres",113
"13588","05-09","08091 Gelida","Mujeres",111
"13589","10-14","08091 Gelida","Mujeres",103
"13590","15-19","08091 Gelida","Mujeres",95
"13591","20-24","08091 Gelida","Mujeres",150
"13592","25-29","08091 Gelida","Mujeres",204
"13593","30-34","08091 Gelida","Mujeres",201
"13594","35-39","08091 Gelida","Mujeres",208
"13595","40-44","08091 Gelida","Mujeres",147
"13596","45-49","08091 Gelida","Mujeres",154
"13597","50-54","08091 Gelida","Mujeres",136
"13598","55-59","08091 Gelida","Mujeres",125
"13599","60-64","08091 Gelida","Mujeres",101
"13600","65-69","08091 Gelida","Mujeres",131
"13601","70-74","08091 Gelida","Mujeres",103
"13602","75-79","08091 Gelida","Mujeres",94
"13603","80-84","08091 Gelida","Mujeres",51
"13604","85 y más","08091 Gelida","Mujeres",74
"13605","Total","08092 Gironella","Mujeres",2514
"13606","0-4","08092 Gironella","Mujeres",57
"13607","05-09","08092 Gironella","Mujeres",76
"13608","10-14","08092 Gironella","Mujeres",99
"13609","15-19","08092 Gironella","Mujeres",112
"13610","20-24","08092 Gironella","Mujeres",164
"13611","25-29","08092 Gironella","Mujeres",154
"13612","30-34","08092 Gironella","Mujeres",127
"13613","35-39","08092 Gironella","Mujeres",148
"13614","40-44","08092 Gironella","Mujeres",191
"13615","45-49","08092 Gironella","Mujeres",163
"13616","50-54","08092 Gironella","Mujeres",159
"13617","55-59","08092 Gironella","Mujeres",160
"13618","60-64","08092 Gironella","Mujeres",118
"13619","65-69","08092 Gironella","Mujeres",192
"13620","70-74","08092 Gironella","Mujeres",168
"13621","75-79","08092 Gironella","Mujeres",166
"13622","80-84","08092 Gironella","Mujeres",128
"13623","85 y más","08092 Gironella","Mujeres",132
"13624","Total","08093 Gisclareny","Mujeres",14
"13625","0-4","08093 Gisclareny","Mujeres",0
"13626","05-09","08093 Gisclareny","Mujeres",0
"13627","10-14","08093 Gisclareny","Mujeres",2
"13628","15-19","08093 Gisclareny","Mujeres",1
"13629","20-24","08093 Gisclareny","Mujeres",1
"13630","25-29","08093 Gisclareny","Mujeres",1
"13631","30-34","08093 Gisclareny","Mujeres",1
"13632","35-39","08093 Gisclareny","Mujeres",1
"13633","40-44","08093 Gisclareny","Mujeres",1
"13634","45-49","08093 Gisclareny","Mujeres",2
"13635","50-54","08093 Gisclareny","Mujeres",1
"13636","55-59","08093 Gisclareny","Mujeres",1
"13637","60-64","08093 Gisclareny","Mujeres",0
"13638","65-69","08093 Gisclareny","Mujeres",0
"13639","70-74","08093 Gisclareny","Mujeres",1
"13640","75-79","08093 Gisclareny","Mujeres",0
"13641","80-84","08093 Gisclareny","Mujeres",1
"13642","85 y más","08093 Gisclareny","Mujeres",0
"13643","Total","08094 Granada (La)","Mujeres",721
"13644","0-4","08094 Granada (La)","Mujeres",33
"13645","05-09","08094 Granada (La)","Mujeres",32
"13646","10-14","08094 Granada (La)","Mujeres",40
"13647","15-19","08094 Granada (La)","Mujeres",43
"13648","20-24","08094 Granada (La)","Mujeres",60
"13649","25-29","08094 Granada (La)","Mujeres",46
"13650","30-34","08094 Granada (La)","Mujeres",59
"13651","35-39","08094 Granada (La)","Mujeres",57
"13652","40-44","08094 Granada (La)","Mujeres",55
"13653","45-49","08094 Granada (La)","Mujeres",51
"13654","50-54","08094 Granada (La)","Mujeres",39
"13655","55-59","08094 Granada (La)","Mujeres",37
"13656","60-64","08094 Granada (La)","Mujeres",20
"13657","65-69","08094 Granada (La)","Mujeres",33
"13658","70-74","08094 Granada (La)","Mujeres",36
"13659","75-79","08094 Granada (La)","Mujeres",36
"13660","80-84","08094 Granada (La)","Mujeres",21
"13661","85 y más","08094 Granada (La)","Mujeres",23
"13662","Total","08095 Granera","Mujeres",21
"13663","0-4","08095 Granera","Mujeres",0
"13664","05-09","08095 Granera","Mujeres",0
"13665","10-14","08095 Granera","Mujeres",0
"13666","15-19","08095 Granera","Mujeres",0
"13667","20-24","08095 Granera","Mujeres",3
"13668","25-29","08095 Granera","Mujeres",0
"13669","30-34","08095 Granera","Mujeres",0
"13670","35-39","08095 Granera","Mujeres",2
"13671","40-44","08095 Granera","Mujeres",3
"13672","45-49","08095 Granera","Mujeres",2
"13673","50-54","08095 Granera","Mujeres",1
"13674","55-59","08095 Granera","Mujeres",2
"13675","60-64","08095 Granera","Mujeres",0
"13676","65-69","08095 Granera","Mujeres",3
"13677","70-74","08095 Granera","Mujeres",2
"13678","75-79","08095 Granera","Mujeres",1
"13679","80-84","08095 Granera","Mujeres",0
"13680","85 y más","08095 Granera","Mujeres",2
"13681","Total","08096 Granollers","Mujeres",27777
"13682","0-4","08096 Granollers","Mujeres",1358
"13683","05-09","08096 Granollers","Mujeres",1342
"13684","10-14","08096 Granollers","Mujeres",1309
"13685","15-19","08096 Granollers","Mujeres",1591
"13686","20-24","08096 Granollers","Mujeres",2235
"13687","25-29","08096 Granollers","Mujeres",2427
"13688","30-34","08096 Granollers","Mujeres",2301
"13689","35-39","08096 Granollers","Mujeres",2253
"13690","40-44","08096 Granollers","Mujeres",2274
"13691","45-49","08096 Granollers","Mujeres",1950
"13692","50-54","08096 Granollers","Mujeres",1673
"13693","55-59","08096 Granollers","Mujeres",1367
"13694","60-64","08096 Granollers","Mujeres",1109
"13695","65-69","08096 Granollers","Mujeres",1268
"13696","70-74","08096 Granollers","Mujeres",1189
"13697","75-79","08096 Granollers","Mujeres",956
"13698","80-84","08096 Granollers","Mujeres",628
"13699","85 y más","08096 Granollers","Mujeres",547
"13700","Total","08097 Gualba","Mujeres",416
"13701","0-4","08097 Gualba","Mujeres",25
"13702","05-09","08097 Gualba","Mujeres",20
"13703","10-14","08097 Gualba","Mujeres",17
"13704","15-19","08097 Gualba","Mujeres",21
"13705","20-24","08097 Gualba","Mujeres",27
"13706","25-29","08097 Gualba","Mujeres",46
"13707","30-34","08097 Gualba","Mujeres",33
"13708","35-39","08097 Gualba","Mujeres",21
"13709","40-44","08097 Gualba","Mujeres",32
"13710","45-49","08097 Gualba","Mujeres",27
"13711","50-54","08097 Gualba","Mujeres",34
"13712","55-59","08097 Gualba","Mujeres",27
"13713","60-64","08097 Gualba","Mujeres",17
"13714","65-69","08097 Gualba","Mujeres",19
"13715","70-74","08097 Gualba","Mujeres",19
"13716","75-79","08097 Gualba","Mujeres",14
"13717","80-84","08097 Gualba","Mujeres",10
"13718","85 y más","08097 Gualba","Mujeres",7
"13719","Total","08098 Sant Salvador de Guardiola","Mujeres",1075
"13720","0-4","08098 Sant Salvador de Guardiola","Mujeres",54
"13721","05-09","08098 Sant Salvador de Guardiola","Mujeres",51
"13722","10-14","08098 Sant Salvador de Guardiola","Mujeres",55
"13723","15-19","08098 Sant Salvador de Guardiola","Mujeres",62
"13724","20-24","08098 Sant Salvador de Guardiola","Mujeres",81
"13725","25-29","08098 Sant Salvador de Guardiola","Mujeres",110
"13726","30-34","08098 Sant Salvador de Guardiola","Mujeres",81
"13727","35-39","08098 Sant Salvador de Guardiola","Mujeres",73
"13728","40-44","08098 Sant Salvador de Guardiola","Mujeres",83
"13729","45-49","08098 Sant Salvador de Guardiola","Mujeres",64
"13730","50-54","08098 Sant Salvador de Guardiola","Mujeres",80
"13731","55-59","08098 Sant Salvador de Guardiola","Mujeres",66
"13732","60-64","08098 Sant Salvador de Guardiola","Mujeres",49
"13733","65-69","08098 Sant Salvador de Guardiola","Mujeres",57
"13734","70-74","08098 Sant Salvador de Guardiola","Mujeres",34
"13735","75-79","08098 Sant Salvador de Guardiola","Mujeres",35
"13736","80-84","08098 Sant Salvador de Guardiola","Mujeres",15
"13737","85 y más","08098 Sant Salvador de Guardiola","Mujeres",25
"13738","Total","08099 Guardiola de Berguedà","Mujeres",468
"13739","0-4","08099 Guardiola de Berguedà","Mujeres",12
"13740","05-09","08099 Guardiola de Berguedà","Mujeres",22
"13741","10-14","08099 Guardiola de Berguedà","Mujeres",23
"13742","15-19","08099 Guardiola de Berguedà","Mujeres",24
"13743","20-24","08099 Guardiola de Berguedà","Mujeres",26
"13744","25-29","08099 Guardiola de Berguedà","Mujeres",29
"13745","30-34","08099 Guardiola de Berguedà","Mujeres",23
"13746","35-39","08099 Guardiola de Berguedà","Mujeres",30
"13747","40-44","08099 Guardiola de Berguedà","Mujeres",39
"13748","45-49","08099 Guardiola de Berguedà","Mujeres",25
"13749","50-54","08099 Guardiola de Berguedà","Mujeres",27
"13750","55-59","08099 Guardiola de Berguedà","Mujeres",24
"13751","60-64","08099 Guardiola de Berguedà","Mujeres",17
"13752","65-69","08099 Guardiola de Berguedà","Mujeres",44
"13753","70-74","08099 Guardiola de Berguedà","Mujeres",35
"13754","75-79","08099 Guardiola de Berguedà","Mujeres",32
"13755","80-84","08099 Guardiola de Berguedà","Mujeres",21
"13756","85 y más","08099 Guardiola de Berguedà","Mujeres",15
"13757","Total","08100 Gurb","Mujeres",989
"13758","0-4","08100 Gurb","Mujeres",47
"13759","05-09","08100 Gurb","Mujeres",68
"13760","10-14","08100 Gurb","Mujeres",54
"13761","15-19","08100 Gurb","Mujeres",52
"13762","20-24","08100 Gurb","Mujeres",64
"13763","25-29","08100 Gurb","Mujeres",76
"13764","30-34","08100 Gurb","Mujeres",68
"13765","35-39","08100 Gurb","Mujeres",78
"13766","40-44","08100 Gurb","Mujeres",84
"13767","45-49","08100 Gurb","Mujeres",73
"13768","50-54","08100 Gurb","Mujeres",66
"13769","55-59","08100 Gurb","Mujeres",61
"13770","60-64","08100 Gurb","Mujeres",40
"13771","65-69","08100 Gurb","Mujeres",42
"13772","70-74","08100 Gurb","Mujeres",30
"13773","75-79","08100 Gurb","Mujeres",34
"13774","80-84","08100 Gurb","Mujeres",28
"13775","85 y más","08100 Gurb","Mujeres",24
"13776","Total","08101 Hospitalet de Llobregat (L')","Mujeres",124679
"13777","0-4","08101 Hospitalet de Llobregat (L')","Mujeres",4418
"13778","05-09","08101 Hospitalet de Llobregat (L')","Mujeres",4179
"13779","10-14","08101 Hospitalet de Llobregat (L')","Mujeres",4748
"13780","15-19","08101 Hospitalet de Llobregat (L')","Mujeres",6141
"13781","20-24","08101 Hospitalet de Llobregat (L')","Mujeres",9642
"13782","25-29","08101 Hospitalet de Llobregat (L')","Mujeres",11350
"13783","30-34","08101 Hospitalet de Llobregat (L')","Mujeres",9745
"13784","35-39","08101 Hospitalet de Llobregat (L')","Mujeres",8644
"13785","40-44","08101 Hospitalet de Llobregat (L')","Mujeres",8074
"13786","45-49","08101 Hospitalet de Llobregat (L')","Mujeres",7907
"13787","50-54","08101 Hospitalet de Llobregat (L')","Mujeres",8734
"13788","55-59","08101 Hospitalet de Llobregat (L')","Mujeres",8842
"13789","60-64","08101 Hospitalet de Llobregat (L')","Mujeres",7062
"13790","65-69","08101 Hospitalet de Llobregat (L')","Mujeres",7681
"13791","70-74","08101 Hospitalet de Llobregat (L')","Mujeres",6480
"13792","75-79","08101 Hospitalet de Llobregat (L')","Mujeres",5144
"13793","80-84","08101 Hospitalet de Llobregat (L')","Mujeres",3264
"13794","85 y más","08101 Hospitalet de Llobregat (L')","Mujeres",2624
"13795","Total","08102 Igualada","Mujeres",17100
"13796","0-4","08102 Igualada","Mujeres",722
"13797","05-09","08102 Igualada","Mujeres",743
"13798","10-14","08102 Igualada","Mujeres",773
"13799","15-19","08102 Igualada","Mujeres",969
"13800","20-24","08102 Igualada","Mujeres",1352
"13801","25-29","08102 Igualada","Mujeres",1315
"13802","30-34","08102 Igualada","Mujeres",1188
"13803","35-39","08102 Igualada","Mujeres",1259
"13804","40-44","08102 Igualada","Mujeres",1201
"13805","45-49","08102 Igualada","Mujeres",1138
"13806","50-54","08102 Igualada","Mujeres",1101
"13807","55-59","08102 Igualada","Mujeres",891
"13808","60-64","08102 Igualada","Mujeres",776
"13809","65-69","08102 Igualada","Mujeres",900
"13810","70-74","08102 Igualada","Mujeres",864
"13811","75-79","08102 Igualada","Mujeres",821
"13812","80-84","08102 Igualada","Mujeres",584
"13813","85 y más","08102 Igualada","Mujeres",503
"13814","Total","08103 Jorba","Mujeres",325
"13815","0-4","08103 Jorba","Mujeres",20
"13816","05-09","08103 Jorba","Mujeres",23
"13817","10-14","08103 Jorba","Mujeres",18
"13818","15-19","08103 Jorba","Mujeres",13
"13819","20-24","08103 Jorba","Mujeres",14
"13820","25-29","08103 Jorba","Mujeres",20
"13821","30-34","08103 Jorba","Mujeres",27
"13822","35-39","08103 Jorba","Mujeres",28
"13823","40-44","08103 Jorba","Mujeres",24
"13824","45-49","08103 Jorba","Mujeres",17
"13825","50-54","08103 Jorba","Mujeres",14
"13826","55-59","08103 Jorba","Mujeres",11
"13827","60-64","08103 Jorba","Mujeres",14
"13828","65-69","08103 Jorba","Mujeres",24
"13829","70-74","08103 Jorba","Mujeres",23
"13830","75-79","08103 Jorba","Mujeres",14
"13831","80-84","08103 Jorba","Mujeres",12
"13832","85 y más","08103 Jorba","Mujeres",9
"13833","Total","08104 Llacuna (La)","Mujeres",404
"13834","0-4","08104 Llacuna (La)","Mujeres",9
"13835","05-09","08104 Llacuna (La)","Mujeres",14
"13836","10-14","08104 Llacuna (La)","Mujeres",23
"13837","15-19","08104 Llacuna (La)","Mujeres",15
"13838","20-24","08104 Llacuna (La)","Mujeres",32
"13839","25-29","08104 Llacuna (La)","Mujeres",27
"13840","30-34","08104 Llacuna (La)","Mujeres",17
"13841","35-39","08104 Llacuna (La)","Mujeres",28
"13842","40-44","08104 Llacuna (La)","Mujeres",27
"13843","45-49","08104 Llacuna (La)","Mujeres",33
"13844","50-54","08104 Llacuna (La)","Mujeres",22
"13845","55-59","08104 Llacuna (La)","Mujeres",26
"13846","60-64","08104 Llacuna (La)","Mujeres",13
"13847","65-69","08104 Llacuna (La)","Mujeres",28
"13848","70-74","08104 Llacuna (La)","Mujeres",22
"13849","75-79","08104 Llacuna (La)","Mujeres",23
"13850","80-84","08104 Llacuna (La)","Mujeres",25
"13851","85 y más","08104 Llacuna (La)","Mujeres",20
"13852","Total","08105 Llagosta (La)","Mujeres",6115
"13853","0-4","08105 Llagosta (La)","Mujeres",278
"13854","05-09","08105 Llagosta (La)","Mujeres",251
"13855","10-14","08105 Llagosta (La)","Mujeres",262
"13856","15-19","08105 Llagosta (La)","Mujeres",366
"13857","20-24","08105 Llagosta (La)","Mujeres",553
"13858","25-29","08105 Llagosta (La)","Mujeres",636
"13859","30-34","08105 Llagosta (La)","Mujeres",505
"13860","35-39","08105 Llagosta (La)","Mujeres",456
"13861","40-44","08105 Llagosta (La)","Mujeres",411
"13862","45-49","08105 Llagosta (La)","Mujeres",393
"13863","50-54","08105 Llagosta (La)","Mujeres",414
"13864","55-59","08105 Llagosta (La)","Mujeres",399
"13865","60-64","08105 Llagosta (La)","Mujeres",302
"13866","65-69","08105 Llagosta (La)","Mujeres",306
"13867","70-74","08105 Llagosta (La)","Mujeres",236
"13868","75-79","08105 Llagosta (La)","Mujeres",167
"13869","80-84","08105 Llagosta (La)","Mujeres",88
"13870","85 y más","08105 Llagosta (La)","Mujeres",92
"13871","Total","08106 Llinars del Vallès","Mujeres",3668
"13872","0-4","08106 Llinars del Vallès","Mujeres",212
"13873","05-09","08106 Llinars del Vallès","Mujeres",188
"13874","10-14","08106 Llinars del Vallès","Mujeres",182
"13875","15-19","08106 Llinars del Vallès","Mujeres",200
"13876","20-24","08106 Llinars del Vallès","Mujeres",270
"13877","25-29","08106 Llinars del Vallès","Mujeres",288
"13878","30-34","08106 Llinars del Vallès","Mujeres",341
"13879","35-39","08106 Llinars del Vallès","Mujeres",312
"13880","40-44","08106 Llinars del Vallès","Mujeres",299
"13881","45-49","08106 Llinars del Vallès","Mujeres",251
"13882","50-54","08106 Llinars del Vallès","Mujeres",226
"13883","55-59","08106 Llinars del Vallès","Mujeres",180
"13884","60-64","08106 Llinars del Vallès","Mujeres",151
"13885","65-69","08106 Llinars del Vallès","Mujeres",158
"13886","70-74","08106 Llinars del Vallès","Mujeres",154
"13887","75-79","08106 Llinars del Vallès","Mujeres",127
"13888","80-84","08106 Llinars del Vallès","Mujeres",66
"13889","85 y más","08106 Llinars del Vallès","Mujeres",63
"13890","Total","08107 Lliçà d'Amunt","Mujeres",5238
"13891","0-4","08107 Lliçà d'Amunt","Mujeres",332
"13892","05-09","08107 Lliçà d'Amunt","Mujeres",292
"13893","10-14","08107 Lliçà d'Amunt","Mujeres",273
"13894","15-19","08107 Lliçà d'Amunt","Mujeres",288
"13895","20-24","08107 Lliçà d'Amunt","Mujeres",352
"13896","25-29","08107 Lliçà d'Amunt","Mujeres",426
"13897","30-34","08107 Lliçà d'Amunt","Mujeres",539
"13898","35-39","08107 Lliçà d'Amunt","Mujeres",500
"13899","40-44","08107 Lliçà d'Amunt","Mujeres",424
"13900","45-49","08107 Lliçà d'Amunt","Mujeres",355
"13901","50-54","08107 Lliçà d'Amunt","Mujeres",347
"13902","55-59","08107 Lliçà d'Amunt","Mujeres",270
"13903","60-64","08107 Lliçà d'Amunt","Mujeres",242
"13904","65-69","08107 Lliçà d'Amunt","Mujeres",224
"13905","70-74","08107 Lliçà d'Amunt","Mujeres",129
"13906","75-79","08107 Lliçà d'Amunt","Mujeres",97
"13907","80-84","08107 Lliçà d'Amunt","Mujeres",64
"13908","85 y más","08107 Lliçà d'Amunt","Mujeres",84
"13909","Total","08108 Lliçà de Vall","Mujeres",2621
"13910","0-4","08108 Lliçà de Vall","Mujeres",144
"13911","05-09","08108 Lliçà de Vall","Mujeres",137
"13912","10-14","08108 Lliçà de Vall","Mujeres",133
"13913","15-19","08108 Lliçà de Vall","Mujeres",166
"13914","20-24","08108 Lliçà de Vall","Mujeres",193
"13915","25-29","08108 Lliçà de Vall","Mujeres",205
"13916","30-34","08108 Lliçà de Vall","Mujeres",229
"13917","35-39","08108 Lliçà de Vall","Mujeres",228
"13918","40-44","08108 Lliçà de Vall","Mujeres",235
"13919","45-49","08108 Lliçà de Vall","Mujeres",212
"13920","50-54","08108 Lliçà de Vall","Mujeres",206
"13921","55-59","08108 Lliçà de Vall","Mujeres",139
"13922","60-64","08108 Lliçà de Vall","Mujeres",101
"13923","65-69","08108 Lliçà de Vall","Mujeres",94
"13924","70-74","08108 Lliçà de Vall","Mujeres",60
"13925","75-79","08108 Lliçà de Vall","Mujeres",54
"13926","80-84","08108 Lliçà de Vall","Mujeres",50
"13927","85 y más","08108 Lliçà de Vall","Mujeres",35
"13928","Total","08109 Lluçà","Mujeres",125
"13929","0-4","08109 Lluçà","Mujeres",6
"13930","05-09","08109 Lluçà","Mujeres",9
"13931","10-14","08109 Lluçà","Mujeres",3
"13932","15-19","08109 Lluçà","Mujeres",4
"13933","20-24","08109 Lluçà","Mujeres",5
"13934","25-29","08109 Lluçà","Mujeres",6
"13935","30-34","08109 Lluçà","Mujeres",12
"13936","35-39","08109 Lluçà","Mujeres",10
"13937","40-44","08109 Lluçà","Mujeres",16
"13938","45-49","08109 Lluçà","Mujeres",7
"13939","50-54","08109 Lluçà","Mujeres",7
"13940","55-59","08109 Lluçà","Mujeres",4
"13941","60-64","08109 Lluçà","Mujeres",8
"13942","65-69","08109 Lluçà","Mujeres",6
"13943","70-74","08109 Lluçà","Mujeres",7
"13944","75-79","08109 Lluçà","Mujeres",8
"13945","80-84","08109 Lluçà","Mujeres",5
"13946","85 y más","08109 Lluçà","Mujeres",2
"13947","Total","08110 Malgrat de Mar","Mujeres",7439
"13948","0-4","08110 Malgrat de Mar","Mujeres",344
"13949","05-09","08110 Malgrat de Mar","Mujeres",291
"13950","10-14","08110 Malgrat de Mar","Mujeres",349
"13951","15-19","08110 Malgrat de Mar","Mujeres",343
"13952","20-24","08110 Malgrat de Mar","Mujeres",501
"13953","25-29","08110 Malgrat de Mar","Mujeres",703
"13954","30-34","08110 Malgrat de Mar","Mujeres",649
"13955","35-39","08110 Malgrat de Mar","Mujeres",566
"13956","40-44","08110 Malgrat de Mar","Mujeres",540
"13957","45-49","08110 Malgrat de Mar","Mujeres",439
"13958","50-54","08110 Malgrat de Mar","Mujeres",468
"13959","55-59","08110 Malgrat de Mar","Mujeres",439
"13960","60-64","08110 Malgrat de Mar","Mujeres",330
"13961","65-69","08110 Malgrat de Mar","Mujeres",396
"13962","70-74","08110 Malgrat de Mar","Mujeres",357
"13963","75-79","08110 Malgrat de Mar","Mujeres",313
"13964","80-84","08110 Malgrat de Mar","Mujeres",190
"13965","85 y más","08110 Malgrat de Mar","Mujeres",221
"13966","Total","08111 Malla","Mujeres",138
"13967","0-4","08111 Malla","Mujeres",4
"13968","05-09","08111 Malla","Mujeres",6
"13969","10-14","08111 Malla","Mujeres",9
"13970","15-19","08111 Malla","Mujeres",7
"13971","20-24","08111 Malla","Mujeres",7
"13972","25-29","08111 Malla","Mujeres",14
"13973","30-34","08111 Malla","Mujeres",16
"13974","35-39","08111 Malla","Mujeres",7
"13975","40-44","08111 Malla","Mujeres",15
"13976","45-49","08111 Malla","Mujeres",7
"13977","50-54","08111 Malla","Mujeres",8
"13978","55-59","08111 Malla","Mujeres",10
"13979","60-64","08111 Malla","Mujeres",2
"13980","65-69","08111 Malla","Mujeres",5
"13981","70-74","08111 Malla","Mujeres",11
"13982","75-79","08111 Malla","Mujeres",3
"13983","80-84","08111 Malla","Mujeres",2
"13984","85 y más","08111 Malla","Mujeres",5
"13985","Total","08112 Manlleu","Mujeres",8981
"13986","0-4","08112 Manlleu","Mujeres",456
"13987","05-09","08112 Manlleu","Mujeres",427
"13988","10-14","08112 Manlleu","Mujeres",444
"13989","15-19","08112 Manlleu","Mujeres",514
"13990","20-24","08112 Manlleu","Mujeres",719
"13991","25-29","08112 Manlleu","Mujeres",665
"13992","30-34","08112 Manlleu","Mujeres",687
"13993","35-39","08112 Manlleu","Mujeres",647
"13994","40-44","08112 Manlleu","Mujeres",716
"13995","45-49","08112 Manlleu","Mujeres",587
"13996","50-54","08112 Manlleu","Mujeres",513
"13997","55-59","08112 Manlleu","Mujeres",434
"13998","60-64","08112 Manlleu","Mujeres",354
"13999","65-69","08112 Manlleu","Mujeres",494
"14000","70-74","08112 Manlleu","Mujeres",465
"14001","75-79","08112 Manlleu","Mujeres",417
"14002","80-84","08112 Manlleu","Mujeres",226
"14003","85 y más","08112 Manlleu","Mujeres",216
"14004","Total","08113 Manresa","Mujeres",33611
"14005","0-4","08113 Manresa","Mujeres",1347
"14006","05-09","08113 Manresa","Mujeres",1227
"14007","10-14","08113 Manresa","Mujeres",1319
"14008","15-19","08113 Manresa","Mujeres",1633
"14009","20-24","08113 Manresa","Mujeres",2349
"14010","25-29","08113 Manresa","Mujeres",2467
"14011","30-34","08113 Manresa","Mujeres",2426
"14012","35-39","08113 Manresa","Mujeres",2415
"14013","40-44","08113 Manresa","Mujeres",2329
"14014","45-49","08113 Manresa","Mujeres",2092
"14015","50-54","08113 Manresa","Mujeres",1978
"14016","55-59","08113 Manresa","Mujeres",1921
"14017","60-64","08113 Manresa","Mujeres",1543
"14018","65-69","08113 Manresa","Mujeres",2185
"14019","70-74","08113 Manresa","Mujeres",2097
"14020","75-79","08113 Manresa","Mujeres",1905
"14021","80-84","08113 Manresa","Mujeres",1202
"14022","85 y más","08113 Manresa","Mujeres",1176
"14023","Total","08114 Martorell","Mujeres",11498
"14024","0-4","08114 Martorell","Mujeres",710
"14025","05-09","08114 Martorell","Mujeres",532
"14026","10-14","08114 Martorell","Mujeres",494
"14027","15-19","08114 Martorell","Mujeres",608
"14028","20-24","08114 Martorell","Mujeres",814
"14029","25-29","08114 Martorell","Mujeres",1241
"14030","30-34","08114 Martorell","Mujeres",1238
"14031","35-39","08114 Martorell","Mujeres",944
"14032","40-44","08114 Martorell","Mujeres",746
"14033","45-49","08114 Martorell","Mujeres",646
"14034","50-54","08114 Martorell","Mujeres",623
"14035","55-59","08114 Martorell","Mujeres",599
"14036","60-64","08114 Martorell","Mujeres",466
"14037","65-69","08114 Martorell","Mujeres",537
"14038","70-74","08114 Martorell","Mujeres",447
"14039","75-79","08114 Martorell","Mujeres",388
"14040","80-84","08114 Martorell","Mujeres",238
"14041","85 y más","08114 Martorell","Mujeres",227
"14042","Total","08115 Martorelles","Mujeres",2489
"14043","0-4","08115 Martorelles","Mujeres",103
"14044","05-09","08115 Martorelles","Mujeres",110
"14045","10-14","08115 Martorelles","Mujeres",134
"14046","15-19","08115 Martorelles","Mujeres",155
"14047","20-24","08115 Martorelles","Mujeres",206
"14048","25-29","08115 Martorelles","Mujeres",209
"14049","30-34","08115 Martorelles","Mujeres",185
"14050","35-39","08115 Martorelles","Mujeres",205
"14051","40-44","08115 Martorelles","Mujeres",201
"14052","45-49","08115 Martorelles","Mujeres",174
"14053","50-54","08115 Martorelles","Mujeres",150
"14054","55-59","08115 Martorelles","Mujeres",135
"14055","60-64","08115 Martorelles","Mujeres",107
"14056","65-69","08115 Martorelles","Mujeres",135
"14057","70-74","08115 Martorelles","Mujeres",85
"14058","75-79","08115 Martorelles","Mujeres",98
"14059","80-84","08115 Martorelles","Mujeres",48
"14060","85 y más","08115 Martorelles","Mujeres",49
"14061","Total","08116 Masies de Roda (Les)","Mujeres",357
"14062","0-4","08116 Masies de Roda (Les)","Mujeres",11
"14063","05-09","08116 Masies de Roda (Les)","Mujeres",20
"14064","10-14","08116 Masies de Roda (Les)","Mujeres",27
"14065","15-19","08116 Masies de Roda (Les)","Mujeres",26
"14066","20-24","08116 Masies de Roda (Les)","Mujeres",26
"14067","25-29","08116 Masies de Roda (Les)","Mujeres",25
"14068","30-34","08116 Masies de Roda (Les)","Mujeres",20
"14069","35-39","08116 Masies de Roda (Les)","Mujeres",24
"14070","40-44","08116 Masies de Roda (Les)","Mujeres",30
