"","Periodo","Sexo","Provincias","value"
"1","2016","Total","Total Nacional",46557008
"2","2015","Total","Total Nacional",46624382
"3","2014","Total","Total Nacional",46771341
"4","2013","Total","Total Nacional",47129783
"5","2012","Total","Total Nacional",47265321
"6","2011","Total","Total Nacional",47190493
"7","2010","Total","Total Nacional",47021031
"8","2009","Total","Total Nacional",46745807
"9","2008","Total","Total Nacional",46157822
"10","2007","Total","Total Nacional",45200737
"11","2006","Total","Total Nacional",44708964
"12","2005","Total","Total Nacional",44108530
"13","2004","Total","Total Nacional",43197684
"14","2003","Total","Total Nacional",42717064
"15","2002","Total","Total Nacional",41837894
"16","2001","Total","Total Nacional",41116842
"17","2000","Total","Total Nacional",40499791
"18","1999","Total","Total Nacional",40202160
"19","1998","Total","Total Nacional",39852651
"20","1997","Total","Total Nacional",NA
"21","1996","Total","Total Nacional",39669394
"22","2016","Hombres","Total Nacional",22843610
"23","2015","Hombres","Total Nacional",22890383
"24","2014","Hombres","Total Nacional",22985676
"25","2013","Hombres","Total Nacional",23196386
"26","2012","Hombres","Total Nacional",23298356
"27","2011","Hombres","Total Nacional",23283187
"28","2010","Hombres","Total Nacional",23226185
"29","2009","Hombres","Total Nacional",23116988
"30","2008","Hombres","Total Nacional",22847737
"31","2007","Hombres","Total Nacional",22339962
"32","2006","Hombres","Total Nacional",22100466
"33","2005","Hombres","Total Nacional",21780869
"34","2004","Hombres","Total Nacional",21285247
"35","2003","Hombres","Total Nacional",21034326
"36","2002","Hombres","Total Nacional",20564089
"37","2001","Hombres","Total Nacional",20165514
"38","2000","Hombres","Total Nacional",19821384
"39","1999","Hombres","Total Nacional",19670642
"40","1998","Hombres","Total Nacional",19488465
"41","1997","Hombres","Total Nacional",NA
"42","1996","Hombres","Total Nacional",19399549
"43","2016","Mujeres","Total Nacional",23713398
"44","2015","Mujeres","Total Nacional",23733999
"45","2014","Mujeres","Total Nacional",23785665
"46","2013","Mujeres","Total Nacional",23933397
"47","2012","Mujeres","Total Nacional",23966965
"48","2011","Mujeres","Total Nacional",23907306
"49","2010","Mujeres","Total Nacional",23794846
"50","2009","Mujeres","Total Nacional",23628819
"51","2008","Mujeres","Total Nacional",23310085
"52","2007","Mujeres","Total Nacional",22860775
"53","2006","Mujeres","Total Nacional",22608498
"54","2005","Mujeres","Total Nacional",22327661
"55","2004","Mujeres","Total Nacional",21912437
"56","2003","Mujeres","Total Nacional",21682738
"57","2002","Mujeres","Total Nacional",21273805
"58","2001","Mujeres","Total Nacional",20951328
"59","2000","Mujeres","Total Nacional",20678407
"60","1999","Mujeres","Total Nacional",20531518
"61","1998","Mujeres","Total Nacional",20364186
"62","1997","Mujeres","Total Nacional",NA
"63","1996","Mujeres","Total Nacional",20269845
"64","2016","Total","02 Albacete",392118
"65","2015","Total","02 Albacete",394580
"66","2014","Total","02 Albacete",396987
"67","2013","Total","02 Albacete",400007
"68","2012","Total","02 Albacete",402837
"69","2011","Total","02 Albacete",402318
"70","2010","Total","02 Albacete",401682
"71","2009","Total","02 Albacete",400891
"72","2008","Total","02 Albacete",397493
"73","2007","Total","02 Albacete",392110
"74","2006","Total","02 Albacete",387658
"75","2005","Total","02 Albacete",384640
"76","2004","Total","02 Albacete",379448
"77","2003","Total","02 Albacete",376556
"78","2002","Total","02 Albacete",371787
"79","2001","Total","02 Albacete",367283
"80","2000","Total","02 Albacete",363263
"81","1999","Total","02 Albacete",361021
"82","1998","Total","02 Albacete",358597
"83","1997","Total","02 Albacete",NA
"84","1996","Total","02 Albacete",359010
"85","2016","Hombres","02 Albacete",195841
"86","2015","Hombres","02 Albacete",197014
"87","2014","Hombres","02 Albacete",198230
"88","2013","Hombres","02 Albacete",200016
"89","2012","Hombres","02 Albacete",201640
"90","2011","Hombres","02 Albacete",201400
"91","2010","Hombres","02 Albacete",201396
"92","2009","Hombres","02 Albacete",201162
"93","2008","Hombres","02 Albacete",199820
"94","2007","Hombres","02 Albacete",196772
"95","2006","Hombres","02 Albacete",194348
"96","2005","Hombres","02 Albacete",192624
"97","2004","Hombres","02 Albacete",189743
"98","2003","Hombres","02 Albacete",188139
"99","2002","Hombres","02 Albacete",185458
"100","2001","Hombres","02 Albacete",182826
"101","2000","Hombres","02 Albacete",180311
"102","1999","Hombres","02 Albacete",179210
"103","1998","Hombres","02 Albacete",178058
"104","1997","Hombres","02 Albacete",NA
"105","1996","Hombres","02 Albacete",178130
"106","2016","Mujeres","02 Albacete",196277
"107","2015","Mujeres","02 Albacete",197566
"108","2014","Mujeres","02 Albacete",198757
"109","2013","Mujeres","02 Albacete",199991
"110","2012","Mujeres","02 Albacete",201197
"111","2011","Mujeres","02 Albacete",200918
"112","2010","Mujeres","02 Albacete",200286
"113","2009","Mujeres","02 Albacete",199729
"114","2008","Mujeres","02 Albacete",197673
"115","2007","Mujeres","02 Albacete",195338
"116","2006","Mujeres","02 Albacete",193310
"117","2005","Mujeres","02 Albacete",192016
"118","2004","Mujeres","02 Albacete",189705
"119","2003","Mujeres","02 Albacete",188417
"120","2002","Mujeres","02 Albacete",186329
"121","2001","Mujeres","02 Albacete",184457
"122","2000","Mujeres","02 Albacete",182952
"123","1999","Mujeres","02 Albacete",181811
"124","1998","Mujeres","02 Albacete",180539
"125","1997","Mujeres","02 Albacete",NA
"126","1996","Mujeres","02 Albacete",180880
"127","2016","Total","03 Alicante/Alacant",1836459
"128","2015","Total","03 Alicante/Alacant",1855047
"129","2014","Total","03 Alicante/Alacant",1868438
"130","2013","Total","03 Alicante/Alacant",1945642
"131","2012","Total","03 Alicante/Alacant",1943910
"132","2011","Total","03 Alicante/Alacant",1934127
"133","2010","Total","03 Alicante/Alacant",1926285
"134","2009","Total","03 Alicante/Alacant",1917012
"135","2008","Total","03 Alicante/Alacant",1891477
"136","2007","Total","03 Alicante/Alacant",1825264
"137","2006","Total","03 Alicante/Alacant",1783555
"138","2005","Total","03 Alicante/Alacant",1732389
"139","2004","Total","03 Alicante/Alacant",1657040
"140","2003","Total","03 Alicante/Alacant",1632349
"141","2002","Total","03 Alicante/Alacant",1557968
"142","2001","Total","03 Alicante/Alacant",1490265
"143","2000","Total","03 Alicante/Alacant",1445144
"144","1999","Total","03 Alicante/Alacant",1410946
"145","1998","Total","03 Alicante/Alacant",1388933
"146","1997","Total","03 Alicante/Alacant",NA
"147","1996","Total","03 Alicante/Alacant",1379762
"148","2016","Hombres","03 Alicante/Alacant",911173
"149","2015","Hombres","03 Alicante/Alacant",920920
"150","2014","Hombres","03 Alicante/Alacant",928519
"151","2013","Hombres","03 Alicante/Alacant",968927
"152","2012","Hombres","03 Alicante/Alacant",969237
"153","2011","Hombres","03 Alicante/Alacant",964560
"154","2010","Hombres","03 Alicante/Alacant",961733
"155","2009","Hombres","03 Alicante/Alacant",958200
"156","2008","Hombres","03 Alicante/Alacant",947523
"157","2007","Hombres","03 Alicante/Alacant",913455
"158","2006","Hombres","03 Alicante/Alacant",892862
"159","2005","Hombres","03 Alicante/Alacant",866000
"160","2004","Hombres","03 Alicante/Alacant",825568
"161","2003","Hombres","03 Alicante/Alacant",811672
"162","2002","Hombres","03 Alicante/Alacant",772613
"163","2001","Hombres","03 Alicante/Alacant",735179
"164","2000","Hombres","03 Alicante/Alacant",710896
"165","1999","Hombres","03 Alicante/Alacant",693933
"166","1998","Hombres","03 Alicante/Alacant",682380
"167","1997","Hombres","03 Alicante/Alacant",NA
"168","1996","Hombres","03 Alicante/Alacant",677118
"169","2016","Mujeres","03 Alicante/Alacant",925286
"170","2015","Mujeres","03 Alicante/Alacant",934127
"171","2014","Mujeres","03 Alicante/Alacant",939919
"172","2013","Mujeres","03 Alicante/Alacant",976715
"173","2012","Mujeres","03 Alicante/Alacant",974673
"174","2011","Mujeres","03 Alicante/Alacant",969567
"175","2010","Mujeres","03 Alicante/Alacant",964552
"176","2009","Mujeres","03 Alicante/Alacant",958812
"177","2008","Mujeres","03 Alicante/Alacant",943954
"178","2007","Mujeres","03 Alicante/Alacant",911809
"179","2006","Mujeres","03 Alicante/Alacant",890693
"180","2005","Mujeres","03 Alicante/Alacant",866389
"181","2004","Mujeres","03 Alicante/Alacant",831472
"182","2003","Mujeres","03 Alicante/Alacant",820677
"183","2002","Mujeres","03 Alicante/Alacant",785355
"184","2001","Mujeres","03 Alicante/Alacant",755086
"185","2000","Mujeres","03 Alicante/Alacant",734248
"186","1999","Mujeres","03 Alicante/Alacant",717013
"187","1998","Mujeres","03 Alicante/Alacant",706553
"188","1997","Mujeres","03 Alicante/Alacant",NA
"189","1996","Mujeres","03 Alicante/Alacant",702644
"190","2016","Total","04 Almería",704297
"191","2015","Total","04 Almería",701211
"192","2014","Total","04 Almería",701688
"193","2013","Total","04 Almería",699329
"194","2012","Total","04 Almería",704219
"195","2011","Total","04 Almería",702819
"196","2010","Total","04 Almería",695560
"197","2009","Total","04 Almería",684426
"198","2008","Total","04 Almería",667635
"199","2007","Total","04 Almería",646633
"200","2006","Total","04 Almería",635850
"201","2005","Total","04 Almería",612315
"202","2004","Total","04 Almería",580077
"203","2003","Total","04 Almería",565310
"204","2002","Total","04 Almería",546498
"205","2001","Total","04 Almería",533168
"206","2000","Total","04 Almería",518229
"207","1999","Total","04 Almería",512843
"208","1998","Total","04 Almería",505448
"209","1997","Total","04 Almería",NA
"210","1996","Total","04 Almería",501761
"211","2016","Hombres","04 Almería",358223
"212","2015","Hombres","04 Almería",356058
"213","2014","Hombres","04 Almería",356663
"214","2013","Hombres","04 Almería",355658
"215","2012","Hombres","04 Almería",359547
"216","2011","Hombres","04 Almería",361189
"217","2010","Hombres","04 Almería",358112
"218","2009","Hombres","04 Almería",352395
"219","2008","Hombres","04 Almería",343716
"220","2007","Hombres","04 Almería",333227
"221","2006","Hombres","04 Almería",329632
"222","2005","Hombres","04 Almería",315056
"223","2004","Hombres","04 Almería",294186
"224","2003","Hombres","04 Almería",287292
"225","2002","Hombres","04 Almería",276380
"226","2001","Hombres","04 Almería",269545
"227","2000","Hombres","04 Almería",259384
"228","1999","Hombres","04 Almería",256380
"229","1998","Hombres","04 Almería",252177
"230","1997","Hombres","04 Almería",NA
"231","1996","Hombres","04 Almería",250552
"232","2016","Mujeres","04 Almería",346074
"233","2015","Mujeres","04 Almería",345153
"234","2014","Mujeres","04 Almería",345025
"235","2013","Mujeres","04 Almería",343671
"236","2012","Mujeres","04 Almería",344672
"237","2011","Mujeres","04 Almería",341630
"238","2010","Mujeres","04 Almería",337448
"239","2009","Mujeres","04 Almería",332031
"240","2008","Mujeres","04 Almería",323919
"241","2007","Mujeres","04 Almería",313406
"242","2006","Mujeres","04 Almería",306218
"243","2005","Mujeres","04 Almería",297259
"244","2004","Mujeres","04 Almería",285891
"245","2003","Mujeres","04 Almería",278018
"246","2002","Mujeres","04 Almería",270118
"247","2001","Mujeres","04 Almería",263623
"248","2000","Mujeres","04 Almería",258845
"249","1999","Mujeres","04 Almería",256463
"250","1998","Mujeres","04 Almería",253271
"251","1997","Mujeres","04 Almería",NA
"252","1996","Mujeres","04 Almería",251209
"253","2016","Total","01 Araba/Álava",324126
"254","2015","Total","01 Araba/Álava",323648
"255","2014","Total","01 Araba/Álava",321932
"256","2013","Total","01 Araba/Álava",321417
"257","2012","Total","01 Araba/Álava",322557
"258","2011","Total","01 Araba/Álava",319227
"259","2010","Total","01 Araba/Álava",317352
"260","2009","Total","01 Araba/Álava",313819
"261","2008","Total","01 Araba/Álava",309635
"262","2007","Total","01 Araba/Álava",305459
"263","2006","Total","01 Araba/Álava",301926
"264","2005","Total","01 Araba/Álava",299957
"265","2004","Total","01 Araba/Álava",295905
"266","2003","Total","01 Araba/Álava",294360
"267","2002","Total","01 Araba/Álava",291860
"268","2001","Total","01 Araba/Álava",288793
"269","2000","Total","01 Araba/Álava",286497
"270","1999","Total","01 Araba/Álava",285748
"271","1998","Total","01 Araba/Álava",284595
"272","1997","Total","01 Araba/Álava",NA
"273","1996","Total","01 Araba/Álava",281821
"274","2016","Hombres","01 Araba/Álava",160240
"275","2015","Hombres","01 Araba/Álava",160294
"276","2014","Hombres","01 Araba/Álava",159583
"277","2013","Hombres","01 Araba/Álava",159622
"278","2012","Hombres","01 Araba/Álava",160649
"279","2011","Hombres","01 Araba/Álava",159041
"280","2010","Hombres","01 Araba/Álava",158322
"281","2009","Hombres","01 Araba/Álava",156418
"282","2008","Hombres","01 Araba/Álava",154376
"283","2007","Hombres","01 Araba/Álava",152040
"284","2006","Hombres","01 Araba/Álava",150297
"285","2005","Hombres","01 Araba/Álava",149623
"286","2004","Hombres","01 Araba/Álava",147475
"287","2003","Hombres","01 Araba/Álava",146651
"288","2002","Hombres","01 Araba/Álava",145251
"289","2001","Hombres","01 Araba/Álava",143579
"290","2000","Hombres","01 Araba/Álava",142269
"291","1999","Hombres","01 Araba/Álava",141900
"292","1998","Hombres","01 Araba/Álava",141350
"293","1997","Hombres","01 Araba/Álava",NA
"294","1996","Hombres","01 Araba/Álava",139940
"295","2016","Mujeres","01 Araba/Álava",163886
"296","2015","Mujeres","01 Araba/Álava",163354
"297","2014","Mujeres","01 Araba/Álava",162349
"298","2013","Mujeres","01 Araba/Álava",161795
"299","2012","Mujeres","01 Araba/Álava",161908
"300","2011","Mujeres","01 Araba/Álava",160186
"301","2010","Mujeres","01 Araba/Álava",159030
"302","2009","Mujeres","01 Araba/Álava",157401
"303","2008","Mujeres","01 Araba/Álava",155259
"304","2007","Mujeres","01 Araba/Álava",153419
"305","2006","Mujeres","01 Araba/Álava",151629
"306","2005","Mujeres","01 Araba/Álava",150334
"307","2004","Mujeres","01 Araba/Álava",148430
"308","2003","Mujeres","01 Araba/Álava",147709
"309","2002","Mujeres","01 Araba/Álava",146609
"310","2001","Mujeres","01 Araba/Álava",145214
"311","2000","Mujeres","01 Araba/Álava",144228
"312","1999","Mujeres","01 Araba/Álava",143848
"313","1998","Mujeres","01 Araba/Álava",143245
"314","1997","Mujeres","01 Araba/Álava",NA
"315","1996","Mujeres","01 Araba/Álava",141881
"316","2016","Total","33 Asturias",1042608
"317","2015","Total","33 Asturias",1051229
"318","2014","Total","33 Asturias",1061756
"319","2013","Total","33 Asturias",1068165
"320","2012","Total","33 Asturias",1077360
"321","2011","Total","33 Asturias",1081487
"322","2010","Total","33 Asturias",1084341
"323","2009","Total","33 Asturias",1085289
"324","2008","Total","33 Asturias",1080138
"325","2007","Total","33 Asturias",1074862
"326","2006","Total","33 Asturias",1076896
"327","2005","Total","33 Asturias",1076635
"328","2004","Total","33 Asturias",1073761
"329","2003","Total","33 Asturias",1075381
"330","2002","Total","33 Asturias",1073971
"331","2001","Total","33 Asturias",1075329
"332","2000","Total","33 Asturias",1076567
"333","1999","Total","33 Asturias",1084314
"334","1998","Total","33 Asturias",1081834
"335","1997","Total","33 Asturias",NA
"336","1996","Total","33 Asturias",1087885
"337","2016","Hombres","33 Asturias",497852
"338","2015","Hombres","33 Asturias",502175
"339","2014","Hombres","33 Asturias",507927
"340","2013","Hombres","33 Asturias",511346
"341","2012","Hombres","33 Asturias",516420
"342","2011","Hombres","33 Asturias",518571
"343","2010","Hombres","33 Asturias",520402
"344","2009","Hombres","33 Asturias",520916
"345","2008","Hombres","33 Asturias",518291
"346","2007","Hombres","33 Asturias",515292
"347","2006","Hombres","33 Asturias",516347
"348","2005","Hombres","33 Asturias",516329
"349","2004","Hombres","33 Asturias",515047
"350","2003","Hombres","33 Asturias",515945
"351","2002","Hombres","33 Asturias",515166
"352","2001","Hombres","33 Asturias",515897
"353","2000","Hombres","33 Asturias",516398
"354","1999","Hombres","33 Asturias",520012
"355","1998","Hombres","33 Asturias",519530
"356","1997","Hombres","33 Asturias",NA
"357","1996","Hombres","33 Asturias",522981
"358","2016","Mujeres","33 Asturias",544756
"359","2015","Mujeres","33 Asturias",549054
"360","2014","Mujeres","33 Asturias",553829
"361","2013","Mujeres","33 Asturias",556819
"362","2012","Mujeres","33 Asturias",560940
"363","2011","Mujeres","33 Asturias",562916
"364","2010","Mujeres","33 Asturias",563939
"365","2009","Mujeres","33 Asturias",564373
"366","2008","Mujeres","33 Asturias",561847
"367","2007","Mujeres","33 Asturias",559570
"368","2006","Mujeres","33 Asturias",560549
"369","2005","Mujeres","33 Asturias",560306
"370","2004","Mujeres","33 Asturias",558714
"371","2003","Mujeres","33 Asturias",559436
"372","2002","Mujeres","33 Asturias",558805
"373","2001","Mujeres","33 Asturias",559432
"374","2000","Mujeres","33 Asturias",560169
"375","1999","Mujeres","33 Asturias",564302
"376","1998","Mujeres","33 Asturias",562304
"377","1997","Mujeres","33 Asturias",NA
"378","1996","Mujeres","33 Asturias",564904
"379","2016","Total","05 Ávila",162514
"380","2015","Total","05 Ávila",164925
"381","2014","Total","05 Ávila",167015
"382","2013","Total","05 Ávila",168825
"383","2012","Total","05 Ávila",171265
"384","2011","Total","05 Ávila",172704
"385","2010","Total","05 Ávila",171896
"386","2009","Total","05 Ávila",171680
"387","2008","Total","05 Ávila",171815
"388","2007","Total","05 Ávila",168638
"389","2006","Total","05 Ávila",167818
"390","2005","Total","05 Ávila",167032
"391","2004","Total","05 Ávila",166108
"392","2003","Total","05 Ávila",165480
"393","2002","Total","05 Ávila",165138
"394","2001","Total","05 Ávila",163885
"395","2000","Total","05 Ávila",164991
"396","1999","Total","05 Ávila",166259
"397","1998","Total","05 Ávila",167132
"398","1997","Total","05 Ávila",NA
"399","1996","Total","05 Ávila",169342
"400","2016","Hombres","05 Ávila",81630
"401","2015","Hombres","05 Ávila",82880
"402","2014","Hombres","05 Ávila",83998
"403","2013","Hombres","05 Ávila",85025
"404","2012","Hombres","05 Ávila",86434
"405","2011","Hombres","05 Ávila",87085
"406","2010","Hombres","05 Ávila",86728
"407","2009","Hombres","05 Ávila",86720
"408","2008","Hombres","05 Ávila",86836
"409","2007","Hombres","05 Ávila",84897
"410","2006","Hombres","05 Ávila",84290
"411","2005","Hombres","05 Ávila",83941
"412","2004","Hombres","05 Ávila",83393
"413","2003","Hombres","05 Ávila",83036
"414","2002","Hombres","05 Ávila",82951
"415","2001","Hombres","05 Ávila",82297
"416","2000","Hombres","05 Ávila",82790
"417","1999","Hombres","05 Ávila",83441
"418","1998","Hombres","05 Ávila",84013
"419","1997","Hombres","05 Ávila",NA
"420","1996","Hombres","05 Ávila",85007
"421","2016","Mujeres","05 Ávila",80884
"422","2015","Mujeres","05 Ávila",82045
"423","2014","Mujeres","05 Ávila",83017
"424","2013","Mujeres","05 Ávila",83800
"425","2012","Mujeres","05 Ávila",84831
"426","2011","Mujeres","05 Ávila",85619
"427","2010","Mujeres","05 Ávila",85168
"428","2009","Mujeres","05 Ávila",84960
"429","2008","Mujeres","05 Ávila",84979
"430","2007","Mujeres","05 Ávila",83741
"431","2006","Mujeres","05 Ávila",83528
"432","2005","Mujeres","05 Ávila",83091
"433","2004","Mujeres","05 Ávila",82715
"434","2003","Mujeres","05 Ávila",82444
"435","2002","Mujeres","05 Ávila",82187
"436","2001","Mujeres","05 Ávila",81588
"437","2000","Mujeres","05 Ávila",82201
"438","1999","Mujeres","05 Ávila",82818
"439","1998","Mujeres","05 Ávila",83119
"440","1997","Mujeres","05 Ávila",NA
"441","1996","Mujeres","05 Ávila",84335
"442","2016","Total","06 Badajoz",684113
"443","2015","Total","06 Badajoz",686730
"444","2014","Total","06 Badajoz",690929
"445","2013","Total","06 Badajoz",693729
"446","2012","Total","06 Badajoz",694533
"447","2011","Total","06 Badajoz",693921
"448","2010","Total","06 Badajoz",692137
"449","2009","Total","06 Badajoz",688777
"450","2008","Total","06 Badajoz",685246
"451","2007","Total","06 Badajoz",678459
"452","2006","Total","06 Badajoz",673474
"453","2005","Total","06 Badajoz",671299
"454","2004","Total","06 Badajoz",663896
"455","2003","Total","06 Badajoz",663142
"456","2002","Total","06 Badajoz",662808
"457","2001","Total","06 Badajoz",664251
"458","2000","Total","06 Badajoz",661874
"459","1999","Total","06 Badajoz",664625
"460","1998","Total","06 Badajoz",663803
"461","1997","Total","06 Badajoz",NA
"462","1996","Total","06 Badajoz",656848
"463","2016","Hombres","06 Badajoz",338954
"464","2015","Hombres","06 Badajoz",340376
"465","2014","Hombres","06 Badajoz",342654
"466","2013","Hombres","06 Badajoz",344296
"467","2012","Hombres","06 Badajoz",344690
"468","2011","Hombres","06 Badajoz",344291
"469","2010","Hombres","06 Badajoz",343363
"470","2009","Hombres","06 Badajoz",341912
"471","2008","Hombres","06 Badajoz",340243
"472","2007","Hombres","06 Badajoz",336211
"473","2006","Hombres","06 Badajoz",333759
"474","2005","Hombres","06 Badajoz",332481
"475","2004","Hombres","06 Badajoz",328519
"476","2003","Hombres","06 Badajoz",327802
"477","2002","Hombres","06 Badajoz",327691
"478","2001","Hombres","06 Badajoz",328427
"479","2000","Hombres","06 Badajoz",327198
"480","1999","Hombres","06 Badajoz",328541
"481","1998","Hombres","06 Badajoz",328160
"482","1997","Hombres","06 Badajoz",NA
"483","1996","Hombres","06 Badajoz",324765
"484","2016","Mujeres","06 Badajoz",345159
"485","2015","Mujeres","06 Badajoz",346354
"486","2014","Mujeres","06 Badajoz",348275
"487","2013","Mujeres","06 Badajoz",349433
"488","2012","Mujeres","06 Badajoz",349843
"489","2011","Mujeres","06 Badajoz",349630
"490","2010","Mujeres","06 Badajoz",348774
"491","2009","Mujeres","06 Badajoz",346865
"492","2008","Mujeres","06 Badajoz",345003
"493","2007","Mujeres","06 Badajoz",342248
"494","2006","Mujeres","06 Badajoz",339715
"495","2005","Mujeres","06 Badajoz",338818
"496","2004","Mujeres","06 Badajoz",335377
"497","2003","Mujeres","06 Badajoz",335340
"498","2002","Mujeres","06 Badajoz",335117
"499","2001","Mujeres","06 Badajoz",335824
"500","2000","Mujeres","06 Badajoz",334676
"501","1999","Mujeres","06 Badajoz",336084
"502","1998","Mujeres","06 Badajoz",335643
"503","1997","Mujeres","06 Badajoz",NA
"504","1996","Mujeres","06 Badajoz",332083
"505","2016","Total","07 Balears, Illes",1107220
"506","2015","Total","07 Balears, Illes",1104479
"507","2014","Total","07 Balears, Illes",1103442
"508","2013","Total","07 Balears, Illes",1111674
"509","2012","Total","07 Balears, Illes",1119439
"510","2011","Total","07 Balears, Illes",1113114
"511","2010","Total","07 Balears, Illes",1106049
"512","2009","Total","07 Balears, Illes",1095426
"513","2008","Total","07 Balears, Illes",1072844
"514","2007","Total","07 Balears, Illes",1030650
"515","2006","Total","07 Balears, Illes",1001062
"516","2005","Total","07 Balears, Illes",983131
"517","2004","Total","07 Balears, Illes",955045
"518","2003","Total","07 Balears, Illes",947361
"519","2002","Total","07 Balears, Illes",916968
"520","2001","Total","07 Balears, Illes",878627
"521","2000","Total","07 Balears, Illes",845630
"522","1999","Total","07 Balears, Illes",821820
"523","1998","Total","07 Balears, Illes",796483
"524","1997","Total","07 Balears, Illes",NA
"525","1996","Total","07 Balears, Illes",760379
"526","2016","Hombres","07 Balears, Illes",550682
"527","2015","Hombres","07 Balears, Illes",549678
"528","2014","Hombres","07 Balears, Illes",549801
"529","2013","Hombres","07 Balears, Illes",554603
"530","2012","Hombres","07 Balears, Illes",560091
"531","2011","Hombres","07 Balears, Illes",557577
"532","2010","Hombres","07 Balears, Illes",555204
"533","2009","Hombres","07 Balears, Illes",551079
"534","2008","Hombres","07 Balears, Illes",540395
"535","2007","Hombres","07 Balears, Illes",517593
"536","2006","Hombres","07 Balears, Illes",501899
"537","2005","Hombres","07 Balears, Illes",492642
"538","2004","Hombres","07 Balears, Illes",478046
"539","2003","Hombres","07 Balears, Illes",474248
"540","2002","Hombres","07 Balears, Illes",458349
"541","2001","Hombres","07 Balears, Illes",437340
"542","2000","Hombres","07 Balears, Illes",419095
"543","1999","Hombres","07 Balears, Illes",406358
"544","1998","Hombres","07 Balears, Illes",392835
"545","1997","Hombres","07 Balears, Illes",NA
"546","1996","Hombres","07 Balears, Illes",373891
"547","2016","Mujeres","07 Balears, Illes",556538
"548","2015","Mujeres","07 Balears, Illes",554801
"549","2014","Mujeres","07 Balears, Illes",553641
"550","2013","Mujeres","07 Balears, Illes",557071
"551","2012","Mujeres","07 Balears, Illes",559348
"552","2011","Mujeres","07 Balears, Illes",555537
"553","2010","Mujeres","07 Balears, Illes",550845
"554","2009","Mujeres","07 Balears, Illes",544347
"555","2008","Mujeres","07 Balears, Illes",532449
"556","2007","Mujeres","07 Balears, Illes",513057
"557","2006","Mujeres","07 Balears, Illes",499163
"558","2005","Mujeres","07 Balears, Illes",490489
"559","2004","Mujeres","07 Balears, Illes",476999
"560","2003","Mujeres","07 Balears, Illes",473113
"561","2002","Mujeres","07 Balears, Illes",458619
"562","2001","Mujeres","07 Balears, Illes",441287
"563","2000","Mujeres","07 Balears, Illes",426535
"564","1999","Mujeres","07 Balears, Illes",415462
"565","1998","Mujeres","07 Balears, Illes",403648
"566","1997","Mujeres","07 Balears, Illes",NA
"567","1996","Mujeres","07 Balears, Illes",386488
"568","2016","Total","08 Barcelona",5542680
"569","2015","Total","08 Barcelona",5523922
"570","2014","Total","08 Barcelona",5523784
"571","2013","Total","08 Barcelona",5540925
"572","2012","Total","08 Barcelona",5552050
"573","2011","Total","08 Barcelona",5529099
"574","2010","Total","08 Barcelona",5511147
"575","2009","Total","08 Barcelona",5487935
"576","2008","Total","08 Barcelona",5416447
"577","2007","Total","08 Barcelona",5332513
"578","2006","Total","08 Barcelona",5309404
"579","2005","Total","08 Barcelona",5226354
"580","2004","Total","08 Barcelona",5117885
"581","2003","Total","08 Barcelona",5052666
"582","2002","Total","08 Barcelona",4906117
"583","2001","Total","08 Barcelona",4804606
"584","2000","Total","08 Barcelona",4736277
"585","1999","Total","08 Barcelona",4706325
"586","1998","Total","08 Barcelona",4666271
"587","1997","Total","08 Barcelona",NA
"588","1996","Total","08 Barcelona",4628277
"589","2016","Hombres","08 Barcelona",2704771
"590","2015","Hombres","08 Barcelona",2696360
"591","2014","Hombres","08 Barcelona",2699040
"592","2013","Hombres","08 Barcelona",2711403
"593","2012","Hombres","08 Barcelona",2722394
"594","2011","Hombres","08 Barcelona",2715628
"595","2010","Hombres","08 Barcelona",2710304
"596","2009","Hombres","08 Barcelona",2703137
"597","2008","Hombres","08 Barcelona",2668359
"598","2007","Hombres","08 Barcelona",2623719
"599","2006","Hombres","08 Barcelona",2615776
"600","2005","Hombres","08 Barcelona",2571514
"601","2004","Hombres","08 Barcelona",2512246
"602","2003","Hombres","08 Barcelona",2479347
"603","2002","Hombres","08 Barcelona",2398899
"604","2001","Hombres","08 Barcelona",2337968
"605","2000","Hombres","08 Barcelona",2299291
"606","1999","Hombres","08 Barcelona",2283548
"607","1998","Hombres","08 Barcelona",2261746
"608","1997","Hombres","08 Barcelona",NA
"609","1996","Hombres","08 Barcelona",2246945
"610","2016","Mujeres","08 Barcelona",2837909
"611","2015","Mujeres","08 Barcelona",2827562
"612","2014","Mujeres","08 Barcelona",2824744
"613","2013","Mujeres","08 Barcelona",2829522
"614","2012","Mujeres","08 Barcelona",2829656
"615","2011","Mujeres","08 Barcelona",2813471
"616","2010","Mujeres","08 Barcelona",2800843
"617","2009","Mujeres","08 Barcelona",2784798
"618","2008","Mujeres","08 Barcelona",2748088
"619","2007","Mujeres","08 Barcelona",2708794
"620","2006","Mujeres","08 Barcelona",2693628
"621","2005","Mujeres","08 Barcelona",2654840
"622","2004","Mujeres","08 Barcelona",2605639
"623","2003","Mujeres","08 Barcelona",2573319
"624","2002","Mujeres","08 Barcelona",2507218
"625","2001","Mujeres","08 Barcelona",2466638
"626","2000","Mujeres","08 Barcelona",2436986
"627","1999","Mujeres","08 Barcelona",2422777
"628","1998","Mujeres","08 Barcelona",2404525
"629","1997","Mujeres","08 Barcelona",NA
"630","1996","Mujeres","08 Barcelona",2381332
"631","2016","Total","48 Bizkaia",1147576
